best_rastrigin2_step0_poor1rich9
eval_cnt fitness r/i/p
1 55.577501184646046 i
2 32.68717479352554 i
3 3.6172955016873516 i
15 3.214862367957302 r
50 2.059707306154941 r
150 2.033869316757759 r
152 1.482609933324106 p
169 1.3997556070199408 r
189 1.0103977404671411 r
433 1.0098482344290716 r
443 1.009378725436406 r
483 1.0088789539340581 r
524 1.0088615198596713 r
544 1.0079394741724528 r
554 1.0076783203914133 r
564 1.0073809592155385 r
574 1.0061602787289559 r
584 1.0048431929526593 r
593 1.0043516547316074 r
644 1.004270897147606 r
665 1.0029429770678888 r
695 1.0029349132421075 r
705 1.001537215299365 r
715 1.0015325617355444 r
736 0.9999200730259084 r
756 0.9991929441849194 r
766 0.9984595510822984 r
776 0.9984354947509999 r
783 0.5821852052982308 r
877 0.1809686802752175 r
1018 0.1133839182043701 r
1038 0.0054495819442017535 r
1109 0.005289089051792928 r
1159 0.004646581603854116 r
1169 0.0044251089882934025 r
1200 0.004270257637635666 r
1210 0.004118768552615393 r
1220 0.003843287363661574 r
1240 0.0030177872171748277 r
1260 0.0027780206743628355 r
1270 0.002244464534292945 r
1311 0.0016213252963659386 r
1321 0.0012032851407646206 r
1331 0.0008592638401339059 r
1371 0.0003394078160106062 r
1401 5.315175372544445e-05 r
1411 3.144504982088847e-05 r
1492 3.144503918406372e-05 r
1512 3.069265368083052e-05 r
1522 2.093563556115896e-05 r
1532 1.948134987372896e-05 r
1553 1.1417345334052698e-05 r
1573 4.3135448990483383e-07 r
1653 4.3135407068461973e-07 r
1684 1.566291203403125e-07 r
1775 1.5662871533095313e-07 r
1795 1.46702184622427e-07 r
1805 9.28385901488582e-09 r
1886 9.283656510206129e-09 r
1956 9.283610324928304e-09 r
1976 7.83987985641943e-09 r
2047 7.83961340289352e-09 r
2117 7.839574323043053e-09 r
2188 7.839393134645434e-09 r
2259 7.839133786546881e-09 r
2329 7.838945492721905e-09 r
2410 7.838906412871438e-09 r
2531 7.838835358597862e-09 r
2612 7.838714566332783e-09 r
2672 2.9719942062911286e-09 r
2743 2.9719089411628374e-09 r
2814 2.9718876248807646e-09 r
2884 2.971777490756722e-09 r
2955 2.9716389349232486e-09 r
3036 2.9716247240685334e-09 r
3106 2.9715678806496726e-09 r
3167 1.4405969750441727e-09 r
3258 1.440557895193706e-09 r
3328 1.4405472370526695e-09 r
3358 4.890452487416042e-10 r
3429 4.890239324595314e-10 r
3510 4.889706417543493e-10 r
3580 4.889670890406705e-10 r
3661 4.889315619038825e-10 r
3742 4.888960347670945e-10 r
3813 4.888462967755913e-10 r
3903 4.888178750661609e-10 r
3974 4.888107696388033e-10 r
4065 4.887965587840881e-10 r
4176 4.887539262199425e-10 r
4246 4.887326099378697e-10 r
4327 4.887077409421181e-10 r
4398 4.886828719463665e-10 r
4468 4.886473448095785e-10 r
4559 4.886118176727905e-10 r
4630 4.885336579718569e-10 r
4731 4.885301052581781e-10 r
4812 4.884803672666749e-10 r
4892 4.884554982709233e-10 r
4973 4.884341819888505e-10 r
5044 4.883844439973473e-10 r
5124 4.883773385699897e-10 r
5195 4.883524695742381e-10 r
5276 4.883133897237713e-10 r
5367 4.88299178869056e-10 r
5447 4.882387827365164e-10 r
5518 4.882210191681224e-10 r
5589 4.882139137407648e-10 r
5659 4.881819393176556e-10 r
5740 4.88157070321904e-10 r
5811 4.88121543185116e-10 r
5881 4.880646997662552e-10 r
5972 4.880575943388976e-10 r
6063 4.8805048891154e-10 r
6143 4.880362780568248e-10 r
6213 4.880291726294672e-10 r
6324 4.880220672021096e-10 r
6415 4.880007509200368e-10 r
6486 4.87979434637964e-10 r
6567 4.879581183558912e-10 r
6657 4.87943907501176e-10 r
6738 4.879368020738184e-10 r
6819 4.878799586549576e-10 r
6890 4.878693005139212e-10 r
6990 4.87837326090812e-10 r
7061 4.87801798954024e-10 r
7132 4.877520609625208e-10 r
7212 4.877271919667692e-10 r
7293 4.877023229710176e-10 r
7374 4.876739012615872e-10 r
7445 4.87641926838478e-10 r
7515 4.876170578427264e-10 r
7596 4.875815307059383e-10 r
7667 4.875317927144351e-10 r
7747 4.874891601502895e-10 r
7818 4.874465275861439e-10 r
7889 4.874429748724651e-10 r
7969 4.874074477356771e-10 r
8050 4.873683678852103e-10 r
8131 4.873399461757799e-10 r
8201 4.873115244663495e-10 r
8282 4.872688919022039e-10 r
8363 4.872617864748463e-10 r
8433 4.872084957696643e-10 r
8504 4.871765213465551e-10 r
8595 4.871587577781611e-10 r
8686 4.871267833550519e-10 r
8766 4.871054670729791e-10 r
8847 4.870983616456215e-10 r
8948 4.870486236541183e-10 r
9029 4.870308600857243e-10 r
9120 4.869775693805423e-10 r
9200 4.869278313890391e-10 r
9281 4.869242786753603e-10 r
9362 4.869136205343239e-10 r
9443 4.86874540683857e-10 r
9533 4.86821249978675e-10 r
9614 4.867928282692446e-10 r
9685 4.867715119871718e-10 r
9755 4.867395375640626e-10 r
9836 4.86714668568311e-10 r
9907 4.867075631409534e-10 r
9977 4.866542724357714e-10 r
10048 4.86608087157947e-10 r
10128 4.865619018801226e-10 r
10198 4.864872948928678e-10 r
10269 4.864517677560798e-10 r
10340 4.864268987603282e-10 r
10431 4.86394924337219e-10 r
10501 4.863309754910006e-10 r
10572 4.86323870063643e-10 r
10653 4.86288342926855e-10 r
10723 4.862386049353518e-10 r
10794 4.862208413669578e-10 r
10895 4.862066305122426e-10 r
10965 4.861497870933817e-10 r
11046 4.861142599565937e-10 r
11127 4.860858382471633e-10 r
11197 4.860112312599085e-10 r
11268 4.859863622641569e-10 r
11339 4.859366242726537e-10 r
11419 4.859046498495445e-10 r
11490 4.858726754264353e-10 r
11581 4.858549118580413e-10 r
11702 4.858407010033261e-10 r
11773 4.858016211528593e-10 r
11843 4.857909630118229e-10 r
11914 4.857412250203197e-10 r
11985 4.857341195929621e-10 r
12065 4.856808288877801e-10 r
12146 4.856346436099557e-10 r
