pass_rich_deceptive30_step1_poor5rich5
eval_cnt worst_rich_fitness new_rich_fitness
11 -0.0915067837419078 -0.11286395297337688
12 -0.0915067837419078 -0.09245216968226673
13 -0.0915067837419078 -0.09899214093326533
14 -0.0915067837419078 -0.09472123478350959
15 -0.0915067837419078 -0.17260853622971056
131 -0.1303564223315845 -0.16511903971173347
132 -0.1303564223315845 -0.1528278711296403
720 -0.17571572581245315 -0.190851323284524
1023 -0.20393971509402997 -0.20527957592688684
1062 -0.20527957592688684 -0.21627418362487985
1102 -0.21627418362487985 -0.2171545829233559
1113 -0.2171545829233559 -0.23046272603764645
1837 -0.22282496242289235 -0.29395067229619976
5942 -0.2512366912542752 -0.266388120764186
5971 -0.266388120764186 -0.2697995312716405
6700 -0.2697995312716405 -0.2769043132314067
6741 -0.2769043132314067 -0.27720642357192776
6912 -0.27720642357192776 -0.3075015613067771
22711 -0.29478192652345137 -0.30180995057016474
24076 -0.30180995057016474 -0.30377874891084705
26971 -0.30562369107409504 -0.3104110942492346
34527 -0.36570226708329584 -0.4025373308779965
38846 -0.3728719835335168 -0.40941944898111493
85262 -0.4022717032613817 -0.40320158508108533

11 -0.1015835681139817 -0.17531248583332523
15 -0.1015835681139817 -0.10252260492256654
224 -0.16143354217396813 -0.21320177929693349
538 -0.17161095412109795 -0.17861900065027891
1163 -0.22991607934685895 -0.23015938944743866
1272 -0.23015938944743866 -0.2394447931417715
2240 -0.23292247583131992 -0.23607506653269628
2268 -0.23607506653269628 -0.23685118774450048
2269 -0.23607506653269628 -0.2505599398006017
2613 -0.23945483018957442 -0.24344415189817317
2713 -0.24344415189817317 -0.246876306740849
4167 -0.24674104786208756 -0.24894923709949662
4195 -0.24894923709949662 -0.2513957174629443
4276 -0.2513957174629443 -0.2540510669865604
4437 -0.2540510669865604 -0.25871103563010023
5285 -0.25702378578974017 -0.2618063444363841
5607 -0.2618063444363841 -0.26206161840312575
5647 -0.26206161840312575 -0.2689639677188022
7944 -0.27036649633757465 -0.27399056816777895
8340 -0.27399056816777895 -0.274321813248466
8399 -0.2823179979516307 -0.30608615985884624
15654 -0.28412487763977223 -0.29607278306861634
15776 -0.29607278306861634 -0.3360771846891689
26539 -0.3076292943214694 -0.33966433684539543
29001 -0.3190436066448001 -0.3240528876210232
31313 -0.3240528876210232 -0.3350352180512338
34096 -0.3258179643396943 -0.38144379889416424
36588 -0.3505109861567039 -0.3662630069999514
56062 -0.3561406457478619 -0.3687082875662628
57357 -0.3687082875662628 -0.37273924629237604
90684 -0.39774328351777455 -0.4250520294086264
91948 -0.4250520294086264 -0.4250878023413533

11 -0.12975701797089037 -0.13606138970841153
14 -0.12975701797089037 -0.15952094027554267
45 -0.13161929504797149 -0.13658981083464194
710 -0.2017996426450248 -0.20391633640342188
819 -0.2045716945151084 -0.21361144398396828
