best_dj2_step1_poor5rich5
eval_cnt fitness r/i/p
1 19.41615524490565 i
2 6.755975908401231 i
3 0.9609818998556838 i
5 0.7864600031267206 i
15 0.7522320167664842 p
39 0.7415710295990559 r
49 0.6241228465638139 r
59 0.5877965155591518 r
60 0.554117737540564 r
70 0.5106721490916829 r
80 0.4632736108989069 r
90 0.38429293569277406 r
110 0.32817187727160374 r
120 0.2642015371102387 r
170 0.2027550402635227 r
210 0.14771195260733977 r
260 0.1057161814039436 r
270 0.09309245157236179 r
280 0.06759442317416332 r
300 0.05126644285563169 r
320 0.040435823078114386 r
370 0.03636053368856834 r
400 0.024286356216852212 r
421 0.008268763829885553 r
441 0.002509423612620909 r
461 0.001816759548208913 r
481 0.00022979580061470426 r
621 0.0002091398703210326 r
641 0.0002060431213588223 r
651 0.00019850890945814095 r
671 0.00019680785198390702 r
681 0.00019053186757651152 r
701 0.00017724323333020064 r
731 0.00017570915670755098 r
751 0.0001501822106282745 r
781 0.00014771443217832607 r
802 0.00014397790540027284 r
812 0.0001413803639821179 r
842 0.00011540848004276157 r
852 9.372822522834827e-05 r
862 9.344740448409748e-05 r
892 7.554046366212497e-05 r
902 6.632661814388047e-05 r
942 5.917272649909949e-05 r
952 5.552196985513364e-05 r
962 3.646500508809867e-05 r
982 3.4443793804896404e-05 r
1012 1.8056767822747235e-05 r
1022 1.2473506004850495e-05 r
1032 3.4630136970620945e-06 r
1062 2.101331057441389e-06 r
1102 1.3499353494189152e-06 r
1122 8.886500736775077e-07 r
1222 8.886499781430533e-07 r
1232 8.101308513013474e-07 r
1252 7.546428557108867e-07 r
1262 5.613530585248434e-07 r
1282 4.644901727610372e-07 r
1302 2.228670127723266e-07 r
1312 2.058531362689219e-07 r
1322 9.782117485827646e-08 r
1332 5.7805840960210495e-08 r
1352 5.124437744919679e-08 r
1372 1.2704662417305196e-08 r
1472 1.270464766400665e-08 r
1502 1.2222447779207615e-08 r
1512 4.32164392125065e-09 r
1603 4.321643917836519e-09 r
1623 3.2211108085403004e-09 r
