pass_rich_deceptive30_step0_poor10rich0
eval_cnt worst_rich_fitness new_rich_fitness
15 -0.12055249895769493 -0.17640112135753674
18 -0.12055249895769493 -0.12431544645196162
310 -0.25321186870356 -0.26605080782731505
390 -0.26605080782731505 -0.27655178065901465
450 -0.27857293208357287 -0.2818452468773883
470 -0.2875224185950984 -0.288163671618833
471 -0.2875224185950984 -0.29144769385357877
575 -0.3308815410991893 -0.33546798608087147
652 -0.33546798608087147 -0.3436689877630065
682 -0.33546798608087147 -0.3419607233045311
709 -0.3419607233045311 -0.3453465662532527
712 -0.3419607233045311 -0.34576576440748147
721 -0.34576576440748147 -0.348110872679713
30667 -0.3916047369396629 -0.39573888596246903
32013 -0.39573888596246903 -0.41203902258289987

11 -0.12292314540206632 -0.1664890019597449
220 -0.1857652213947709 -0.19449823696722726
229 -0.19449823696722726 -0.20896770532613157
249 -0.20896770532613157 -0.2099117374784701
269 -0.2099117374784701 -0.227759022564809
370 -0.23478627140080335 -0.2547861434886406
606 -0.25892093808716354 -0.26882697727966687
672 -0.26882697727966687 -0.271612298212552
23196 -0.31052395341710776 -0.32600815645282244
24818 -0.32600815645282244 -0.33164215075772524
26274 -0.3337967186920654 -0.34026072182756256
27111 -0.34026072182756256 -0.35306194320583634

11 -0.10496537944781735 -0.12132958717038743
12 -0.10496537944781735 -0.10835673783941974
14 -0.10496537944781735 -0.15186847819514152
15 -0.10496537944781735 -0.10767371565187171
16 -0.10496537944781735 -0.11036980966104508
18 -0.10496537944781735 -0.16070933378617872
19 -0.10496537944781735 -0.12955058507382783
200 -0.17016413805543354 -0.17518781227701888
210 -0.17518781227701888 -0.17849696038475654
220 -0.180489710380661 -0.18739591849401868
310 -0.1892141439381865 -0.18942165381097245
329 -0.20112206017584047 -0.21429399006724537
359 -0.21429399006724537 -0.215367225352212
369 -0.215367225352212 -0.21986534185138776
380 -0.21986534185138776 -0.22152753821746665
388 -0.22152753821746665 -0.22809647217538764
400 -0.22809647217538764 -0.24251266708603866
430 -0.24251266708603866 -0.2492004462273639
469 -0.2492004462273639 -0.2577563308057621
477 -0.2577563308057621 -0.2608536719550921
480 -0.2577563308057621 -0.26010731348638466
499 -0.26124541558975645 -0.2629672563422054
516 -0.2629672563422054 -0.26593365198848457
529 -0.26593365198848457 -0.26999772305578673
538 -0.26999772305578673 -0.2749224763675107
559 -0.2749224763675107 -0.2779203438621044
565 -0.27865397817843063 -0.2812401718618806
566 -0.27865397817843063 -0.2794089536321535
568 -0.27865397817843063 -0.2835222960777137
569 -0.27865397817843063 -0.2824177916717736
606 -0.285253730043014 -0.2964028640953922
699 -0.2964028640953922 -0.30284862948760904
705 -0.30284862948760904 -0.3116694174146318
720 -0.3116694174146318 -0.31228015279335813
733 -0.31228015279335813 -0.31285696897082926
784 -0.31285696897082926 -0.31552423106475286
816 -0.31552423106475286 -0.31944893561290716
26180 -0.3409385386106722 -0.3579188821055847
27570 -0.3837598980824608 -0.38520131153037596

12 -0.1351918600604504 -0.14749920357269503
17 -0.1351918600604504 -0.14401545734049506
19 -0.1351918600604504 -0.13536479830535977
28 -0.14749920357269503 -0.15551268429804813
199 -0.16875127747802018 -0.169606448230351
