pass_rich_deceptive30_step1_poor7rich3
eval_cnt worst_rich_fitness new_rich_fitness
15 -0.15576416304297164 -0.17679860639540815
131 -0.12316665323942541 -0.14189319136394687
132 -0.12316665323942541 -0.1292734905631371
460 -0.1587263537332162 -0.16506117187918612
591 -0.1723810330625021 -0.18477972525244496
601 -0.18477972525244496 -0.19176918608355006
611 -0.19176918608355006 -0.21525264336316224
621 -0.19840522092315235 -0.20506799161460615
790 -0.2086127712251819 -0.21614039065246626
1394 -0.21705485585928544 -0.2184848674931422
1415 -0.2184848674931422 -0.2208530348072915
1416 -0.2184848674931422 -0.22373301346687285
1424 -0.22373301346687285 -0.2380762308950119
1426 -0.22373301346687285 -0.2294220836201809
1477 -0.2380762308950119 -0.2607246921616288
1860 -0.26458191777536605 -0.2725311700151908
2039 -0.2964392336857001 -0.30721945588040506
2262 -0.30721945588040506 -0.3086538196592001
2302 -0.3129812771579079 -0.3150573760349391
2382 -0.3150573760349391 -0.3154067813623587
2471 -0.31541973870392337 -0.32264180501227113
2622 -0.3281521974698993 -0.32883047393863274
2693 -0.32883047393863274 -0.3301072519990766
2904 -0.3338018537877985 -0.3350995165841217
3055 -0.3413999430949226 -0.34295563877036167
31760 -0.3444141280417126 -0.3582570438223186
34038 -0.3509353200189638 -0.39323430950492505
36130 -0.3582570438223186 -0.3728917752747255
50678 -0.3884713244110907 -0.39268503381181236
52488 -0.39268503381181236 -0.39392338062810267
55590 -0.3965005858895521 -0.4025698700080502
64924 -0.4053134501317027 -0.4143598427704471
66049 -0.4261381244727201 -0.4343185739406301

11 -0.1275371400098029 -0.17114368505667116
27 -0.12789153826371363 -0.12888267325138084
77 -0.131728233133476 -0.13287890784228826
396 -0.18276232144841892 -0.21247236710108924
883 -0.2186929865070536 -0.22343886726578335
932 -0.22343886726578335 -0.22577723693345247
980 -0.22577723693345247 -0.22739513268022596
1002 -0.22739513268022596 -0.22995554212114916
1012 -0.22995554212114916 -0.24996922252086867
1042 -0.24996922252086867 -0.2521140831755145
1071 -0.2521140831755145 -0.256261455872599
1072 -0.2521140831755145 -0.255262119532035
1101 -0.256261455872599 -0.2590745746285051
1103 -0.256261455872599 -0.26177332897904637
1110 -0.26177332897904637 -0.27249210726560613
1465 -0.2648858006136457 -0.27609259064938707
1676 -0.2708581560862625 -0.2912574782966017
2029 -0.27463318342316057 -0.27645814016180514
2170 -0.27645814016180514 -0.28531434385673604
2208 -0.28531434385673604 -0.2870737867458555
2211 -0.28531434385673604 -0.29209644821366376
2220 -0.29209644821366376 -0.29379134331355006
2704 -0.29500427313194266 -0.297458801491443
2822 -0.297458801491443 -0.29861448987312883
2826 -0.297458801491443 -0.2991106509692397
2936 -0.30234660023516 -0.3045728086682706
2946 -0.3045728086682706 -0.30475242469087044
3005 -0.30644944350151243 -0.3070868275865199
27365 -0.32043514062689155 -0.3392742501313203
29378 -0.3704318415628205 -0.37672196023784454
39783 -0.3806234790645452 -0.39575395946825
43503 -0.3912357130231435 -0.4157434763915213
45002 -0.4157434763915213 -0.420330884344865

14 -0.15870912710289242 -0.16981322393797235
213 -0.1889972432044957 -0.19135468203445824
722 -0.2265857663741584 -0.24042733631751875
18830 -0.27775920635023965 -0.28846900398257896
20820 -0.28054353812235266 -0.2918246599110677
21527 -0.28499385862143917 -0.349203425872736
22234 -0.3344218919148986 -0.3401874829336941
23606 -0.37192416318193533 -0.3745151152475195
23686 -0.3745151152475195 -0.3747062077673559
24008 -0.37517772252797443 -0.38310858153096855
24199 -0.38310858153096855 -0.3831757285259467
24511 -0.3834623603628474 -0.38492868685749426
24632 -0.38492868685749426 -0.386051474223867
24712 -0.386051474223867 -0.4038971256215799
25811 -0.40452109931150376 -0.4086752213999162

12 -0.09132092473374376 -0.1439374636377855
13 -0.09132092473374376 -0.13492494207059494
17 -0.09132092473374376 -0.16622962321809767
67 -0.14746100845461113 -0.14908567673539433
77 -0.14908567673539433 -0.1497066816587124
520 -0.18194123898938105 -0.18308760609406347
618 -0.18335612129646753 -0.1962258426247002
619 -0.18335612129646753 -0.18366728400197324
810 -0.21274212418073857 -0.2175553110650654
818 -0.2175553110650654 -0.2185373427996314
829 -0.2185373427996314 -0.22906691367459578
957 -0.22075410102075307 -0.2495446800290887
1759 -0.2843327194178744 -0.2986807486941145
2060 -0.2948962068323885 -0.3018515412327801
2242 -0.3018515412327801 -0.3019579978611654
27554 -0.32135999128955156 -0.3224184452041785
29350 -0.3442108985271488 -0.3631434054490395
32359 -0.35973582920407093 -0.3817060600752924
34136 -0.3817060600752924 -0.38614579584085956
35036 -0.3861660621558849 -0.395160986131349

13 -0.11677309053863104 -0.11835241643035894
14 -0.11677309053863104 -0.18127973586267046
15 -0.11677309053863104 -0.1508064010584548
16 -0.11677309053863104 -0.13751322428551657
27 -0.13751322428551657 -0.14031087357190072
97 -0.14778481784577244 -0.148395955632304
227 -0.15471908964374853 -0.16498689228446967
294 -0.16870211053683043 -0.22029000241110497
463 -0.19785450627399642 -0.24033458999107582
1040 -0.2842697867615023 -0.3044895234615255
1051 -0.30399677380867823 -0.31785650218571304
1130 -0.3044895234615255 -0.30542390496847616
1131 -0.3044895234615255 -0.3049977782037581
1182 -0.30542390496847616 -0.30609428430349406
1191 -0.30609428430349406 -0.3125430951426724
1221 -0.3125430951426724 -0.3257305121480449
1244 -0.31785650218571304 -0.32243852068939827
1251 -0.32091633451275364 -0.3349744578449927
1303 -0.3257305121480449 -0.32951461792300746
1334 -0.3349744578449927 -0.3477443777269364
1421 -0.3394634740616069 -0.3523600005707876
1422 -0.3394634740616069 -0.3406971143179932
1433 -0.3447817693111743 -0.3460847409782608
1443 -0.3460847409782608 -0.34629897232962636
1454 -0.34629897232962636 -0.36591248241306595
