best_shubert2_step0_poor5rich5
eval_cnt fitness r/i/p
1 -0.1830154446832766 i
2 -49.82132187064192 i
9 -64.09553330300842 i
19 -76.43382440552746 r
70 -79.2878670123759 r
341 -79.28915178371909 r
352 -79.2895959970187 r
362 -79.29055087470377 r
372 -79.29126787660657 r
392 -79.2927445597909 r
402 -79.29446822897975 r
432 -79.29768378958403 r
503 -79.29768379092485 r
523 -79.29774431836447 r
533 -79.29868702970258 r
553 -79.30036809956816 r
563 -79.30402591252299 r
574 -79.30711103998229 r
604 -79.30869171469338 r
634 -79.30912412201081 r
644 -79.31254184481075 r
654 -79.31984804459641 r
674 -79.32535704458348 r
685 -79.33179568518165 r
715 -79.33709550853337 r
725 -79.34587666975172 r
735 -79.35312613069534 r
745 -79.3571856714418 r
755 -79.36290213323356 r
765 -79.37301080574382 r
775 -79.37357716364906 r
796 -79.37449053765862 r
806 -79.37711511204826 r
816 -79.37782385733097 r
826 -79.38180536818172 r
866 -79.38259320416861 r
886 -79.39131092413646 r
896 -79.3932199936556 r
927 -79.40016554208957 r
947 -79.4026386348661 r
967 -79.40493566852932 r
977 -79.4069246897864 r
997 -79.40881619044082 r
1017 -79.40969733268093 r
1027 -79.41018086501897 r
1057 -79.41077310551401 r
1128 -79.41077310553281 r
1188 -79.41081228342658 r
1209 -79.41082908337519 r
1229 -79.41088554838849 r
1239 -79.4108938235325 r
1269 -79.4109074356828 r
1360 -79.41090743569565 r
1370 -79.41090863441197 r
1380 -79.41091226489873 r
1461 -79.41091226490178 r
1511 -79.41091298858822 r
1582 -79.4109129885911 r
1653 -79.41091298859236 r
1663 -79.4109131025387 r
1733 -79.41091310253884 r
1824 -79.41091310254133 r
1834 -79.4109131120368 r
1905 -79.41091311203844 r
1935 -79.41091311962565 r
2036 -79.41091311962741 r
2048 -174.10679378965204 p
2186 -186.106141437434 r
2347 -186.54979243179636 r
2902 -186.5497997831815 r
2942 -186.55092608520533 r
2952 -186.55879410319966 r
2993 -186.56158915775526 r
3023 -186.56947085358783 r
3043 -186.57013715269238 r
3063 -186.57781997041596 r
3074 -186.58206934649448 r
3104 -186.58440584478697 r
3144 -186.5874397568587 r
3164 -186.60016711860214 r
3195 -186.60981181913783 r
3215 -186.61552333415875 r
3225 -186.6236418950455 r
3245 -186.63289588422614 r
3255 -186.64938040030114 r
3265 -186.66913598478598 r
3285 -186.68426894753782 r
3296 -186.6893456083208 r
3306 -186.68943816717626 r
3316 -186.70129594030217 r
3336 -186.70523751516663 r
3346 -186.71291802596224 r
3376 -186.72343858241112 r
3396 -186.72655145118662 r
3437 -186.72834872938012 r
3467 -186.7292167016005 r
3507 -186.73013655094314 r
3548 -186.73050492370714 r
3639 -186.73050492374773 r
3649 -186.73051509131133 r
3659 -186.73062086900046 r
3689 -186.73062282312472 r
3699 -186.73069486240516 r
3719 -186.7307838674036 r
3729 -186.7308986426119 r
3800 -186.73089864261337 r
3810 -186.73090428654226 r
3871 -186.73090630666806 r
3901 -186.73090870783946 r
3972 -186.73090870784011 r
4072 -186.73090870784182 r
4173 -186.7309087078429 r
4203 -186.7309087085589 r
4273 -186.73090870856012 r
4354 -186.73090870856302 r
4364 -186.73090877155232 r
4435 -186.73090877155306 r
4536 -186.7309087715538 r
4606 -186.7309087715552 r
4676 -186.73090877155678 r
4707 -186.73090881366645 r
4777 -186.73090881366755 r
4857 -186.73090881366767 r
4948 -186.73090881366812 r
5018 -186.7309088136684 r
5109 -186.73090881366855 r
5179 -186.73090881366954 r
5260 -186.7309088136699 r
5341 -186.73090881367065 r
5411 -186.7309088136712 r
