best_shubert2_step0_poor3rich7
eval_cnt fitness r/i/p
7268 -186.73090882278464 r
7359 -186.73090882278555 r
7430 -186.7309088227859 r
7531 -186.73090882278595 r
7601 -186.73090882278612 r
7672 -186.73090882278657 r
7763 -186.7309088227868 r
7834 -186.73090882278686 r
7904 -186.73090882278694 r
8005 -186.73090882278728 r
8076 -186.73090882278768 r
8146 -186.73090882278842 r
8156 -186.73090882706347 r
8237 -186.7309088270637 r
8308 -186.73090882706404 r
8378 -186.7309088270641 r
8449 -186.73090882706438 r
8520 -186.73090882706495 r
8590 -186.7309088270654 r
8671 -186.7309088270659 r
8752 -186.7309088270662 r
8833 -186.73090882706646 r
8903 -186.73090882706666 r
8994 -186.73090882706722 r
9075 -186.73090882706757 r
9145 -186.73090882706802 r
9226 -186.7309088270685 r
9297 -186.73090882706893 r
9377 -186.73090882706924 r
9478 -186.73090882706956 r
9549 -186.73090882707 r
9630 -186.73090882707007 r
9721 -186.7309088270706 r
9791 -186.73090882707095 r
9862 -186.73090882707098 r
9943 -186.73090882707137 r
10023 -186.7309088270716 r
10103 -186.7309088270721 r
10174 -186.73090882707245 r
10244 -186.73090882707265 r
10315 -186.73090882707288 r
10385 -186.7309088270734 r
10456 -186.7309088270736 r
10537 -186.73090882707368 r
10607 -186.73090882707416 r
10678 -186.7309088270745 r
10749 -186.73090882707453 r
10819 -186.73090882707493 r
10879 -186.7309088286885 r
10951 -186.73090882868914 r
11102 -186.73090882868965 r
11172 -186.73090882869013 r
11253 -186.7309088286904 r
11344 -186.73090882869045 r
11414 -186.73090882869056 r
11485 -186.7309088286906 r
11585 -186.73090882869084 r
11665 -186.7309088286914 r
11745 -186.73090882869164 r
11846 -186.7309088286917 r
11917 -186.73090882869187 r
12008 -186.73090882869215 r
12098 -186.7309088286925 r
12169 -186.73090882869292 r
12270 -186.73090882869303 r
12371 -186.7309088286931 r
12441 -186.7309088286932 r
12542 -186.73090882869332 r
12613 -186.73090882869343 r
12684 -186.7309088286938 r
12774 -186.73090882869406 r
12843 -186.73090882875732 r
12916 -186.73090882875746 r
12996 -186.73090882875786 r
13097 -186.73090882875803 r
13168 -186.73090882875815 r
13249 -186.73090882875832 r
13319 -186.7309088287586 r
13390 -186.7309088287588 r
13511 -186.73090882875903 r
13592 -186.73090882875908 r
13703 -186.73090882875923 r
13854 -186.73090882875925 r
13935 -186.7309088287593 r
14016 -186.7309088287595 r
14096 -186.7309088287598 r
14167 -186.73090882876 r
14238 -186.7309088287601 r
14308 -186.73090882876025 r
14439 -186.73090882876042 r
14510 -186.73090882876045 r
14591 -186.73090882876065 r
14661 -186.730908828761 r
14742 -186.7309088287613 r
14813 -186.7309088287616 r
14883 -186.73090882876176 r
14954 -186.73090882876195 r
15035 -186.73090882876204 r
15146 -186.73090882876227 r
15227 -186.73090882876247 r
15307 -186.73090882876278 r
15408 -186.7309088287629 r
15519 -186.73090882876315 r
15590 -186.73090882876352 r
15660 -186.73090882876386 r
15731 -186.7309088287642 r
15802 -186.7309088287644 r
15872 -186.7309088287646 r
15993 -186.73090882876502 r
16064 -186.73090882876514 r
16185 -186.73090882876545 r
16256 -186.73090882876573 r
16347 -186.7309088287659 r
16417 -186.73090882876605 r
16538 -186.73090882876627 r
16619 -186.7309088287665 r
16710 -186.7309088287668 r
16781 -186.73090882876716 r
16871 -186.73090882876744 r
16962 -186.73090882876778 r
17033 -186.73090882876818 r
17103 -186.73090882876824 r
17174 -186.7309088287683 r
17245 -186.73090882876835 r
17325 -186.7309088287685 r
17406 -186.7309088287686 r
17487 -186.7309088287688 r
17578 -186.7309088287689 r
17648 -186.73090882876912 r
17729 -186.73090882876954 r
17810 -186.73090882876988 r
17901 -186.73090882877017 r
18012 -186.73090882877068 r
18082 -186.73090882877082 r
18153 -186.73090882877085 r
18274 -186.73090882877094 r
18355 -186.7309088287712 r
18446 -186.7309088287715 r
18557 -186.7309088287718 r
18637 -186.73090882877196 r
18738 -186.73090882877244 r
18849 -186.73090882877273 r
18920 -186.73090882877324 r
19001 -186.73090882877338 r
19071 -186.7309088287735 r
19142 -186.73090882877355 r
19233 -186.73090882877375 r
19313 -186.73090882877423 r
19394 -186.7309088287744 r
19465 -186.73090882877443 r
19535 -186.73090882877463 r
19616 -186.73090882877474 r
19717 -186.73090882877503 r
19818 -186.73090882877514 r
19899 -186.73090882877548 r
19969 -186.73090882877582 r
20040 -186.73090882877585 r
20111 -186.73090882877614 r
20181 -186.73090882877636 r
20262 -186.7309088287765 r
20333 -186.7309088287767 r
20423 -186.73090882877693 r
20494 -186.73090882877707 r
20615 -186.73090882877733 r
20696 -186.73090882877753 r
20766 -186.7309088287777 r
20837 -186.730908828778 r
20908 -186.73090882877818 r
20999 -186.73090882877844 r
21069 -186.73090882877864 r
21170 -186.73090882877887 r
21261 -186.73090882877912 r
21332 -186.73090882877955 r
21453 -186.7309088287799 r
21533 -186.73090882878023 r
21604 -186.7309088287804 r
21705 -186.73090882878083 r
21786 -186.73090882878117 r
21856 -186.73090882878122 r
21927 -186.73090882878142 r
21998 -186.73090882878182 r
22078 -186.73090882878222 r
22159 -186.73090882878262 r
22230 -186.73090882878267 r
22310 -186.7309088287831 r
22391 -186.73090882878316 r
22482 -186.7309088287832 r
22593 -186.73090882878338 r
22664 -186.7309088287839 r
22734 -186.73090882878418 r
22805 -186.73090882878427 r
22936 -186.73090882878444 r
23027 -186.7309088287849 r
23097 -186.73090882878523 r
23178 -186.73090882878532 r
23259 -186.7309088287857 r
23370 -186.730908828786 r
23481 -186.73090882878654 r
23552 -186.73090882878674 r
23632 -186.73090882878708 r
23713 -186.73090882878745 r
23794 -186.73090882878782 r
23864 -186.7309088287882 r
23935 -186.73090882878844 r
24066 -186.73090882878893 r
24137 -186.73090882878898 r
24228 -186.73090882878913 r
24298 -186.73090882878944 r
24379 -186.73090882878972 r
24450 -186.73090882878984 r
24530 -186.73090882878992 r
24601 -186.73090882878998 r
24648 -186.7309088290444 r
24732 -186.7309088290445 r
24813 -186.73090882904452 r
24934 -186.7309088290449 r
25005 -186.730908829045 r
25075 -186.73090882904523 r
25146 -186.73090882904557 r
25227 -186.73090882904594 r
25297 -186.73090882904629 r
25378 -186.73090882904654 r
25479 -186.73090882904668 r
25560 -186.7309088290468 r
25630 -186.73090882904694 r
25701 -186.73090882904705 r
25782 -186.73090882904745 r
25872 -186.73090882904768 r
25943 -186.73090882904776 r
26034 -186.7309088290481 r
26105 -186.73090882904816 r
26246 -186.7309088290484 r
26367 -186.73090882904862 r
26438 -186.73090882904887 r
26508 -186.73090882904927 r
26579 -186.7309088290496 r
26649 -186.73090882904967 r
26720 -186.73090882904978 r
26831 -186.7309088290502 r
26902 -186.73090882905055 r
27013 -186.73090882905097 r
27083 -186.730908829051 r
27174 -186.7309088290512 r
27295 -186.73090882905157 r
27376 -186.73090882905188 r
27447 -186.73090882905194 r
27517 -186.73090882905223 r
27588 -186.73090882905248 r
27659 -186.7309088290528 r
27729 -186.73090882905296 r
27800 -186.73090882905316 r
27901 -186.73090882905333 r
27981 -186.73090882905353 r
28052 -186.730908829054 r
28123 -186.73090882905413 r
28224 -186.73090882905456 r
28304 -186.73090882905484 r
28395 -186.7309088290549 r
28466 -186.7309088290553 r
28597 -186.73090882905544 r
28668 -186.73090882905564 r
28738 -186.73090882905572 r
