best_dj2_step1_poor3rich7
eval_cnt fitness r/i/p
1 19.41615524490565 i
2 6.755975908401231 i
3 0.9609818998556838 i
5 0.7864600031267206 i
40 0.7117822847705905 r
80 0.6677311903017749 r
100 0.6123334278407164 r
129 0.5346068015473249 r
161 0.47270848042651026 r
171 0.4056352021068596 r
201 0.3699682104232897 r
211 0.3373123197445547 r
251 0.29055185901096114 r
262 0.25521272190335853 r
312 0.23321634888120218 r
332 0.22575476559979707 r
382 0.1971339692558872 r
392 0.17325857930018213 r
402 0.1259773294683894 r
412 0.09987775837818874 r
432 0.05919616797484944 r
452 0.04894678582531993 r
472 0.03353356609714653 r
483 0.01981647475380422 r
533 0.012759975582896503 r
563 0.006345388877368697 r
573 0.0053998034695266275 r
594 0.0005088126150323948 r
724 0.00047993434710975224 r
734 0.00047578256840830085 r
764 0.0004592903417779237 r
784 0.0004125553699302757 r
814 0.00037808374411261043 r
824 0.0003444659783549396 r
845 0.0003434500649539235 r
855 0.0003365824981496121 r
875 0.0003139617571591728 r
905 0.0003016200121679969 r
925 0.0002963992631196751 r
945 0.00027608730880460786 r
955 0.0002507377321370937 r
965 0.00023939267165802737 r
975 0.00022894810617931066 r
1035 0.0002276436736064344 r
1045 0.00019716522060047508 r
1065 0.00017391476532497614 r
1075 0.0001330640074558928 r
1115 0.00012125715441877499 r
1125 9.13184285118164e-05 r
1155 8.605983268717378e-05 r
1165 7.695120301355154e-05 r
1255 7.695120213421509e-05 r
1265 7.653199252753956e-05 r
1295 7.588160505214986e-05 r
1303 3.511905651885313e-05 r
1525 2.0076136194976062e-05 r
1535 1.1925817656427576e-05 r
1565 6.520700545228879e-06 r
1575 1.1133856200185692e-06 r
1595 8.652093172812009e-07 r
1655 5.450642224708492e-07 r
1685 5.200272263763126e-07 r
1765 5.200272039142941e-07 r
1785 4.767428280322577e-07 r
1795 4.4056965281192617e-07 r
1815 4.2363846311027716e-07 r
1825 3.868432661606869e-07 r
1845 2.8015492242702546e-07 r
1885 1.649335786292583e-07 r
1895 7.490313027917524e-08 r
