pass_rich_deceptive10_step0_poor7rich3
eval_cnt worst_rich_fitness new_rich_fitness
13 -0.11297264786893099 -0.117853436434581
14 -0.11297264786893099 -0.1204329837827885
652 -0.2481737862197532 -0.2802519050157093
822 -0.2594912364298698 -0.27652654160934637
839 -0.27652654160934637 -0.28270650610846476
859 -0.28270650610846476 -0.29634297835634954
861 -0.28270650610846476 -0.3175009944752442
1083 -0.30783635615296473 -0.35882315349027183
1091 -0.3175009944752442 -0.32759024190637065
1133 -0.32759024190637065 -0.34599796038757735
1162 -0.34074346406624323 -0.3616301269023331
1192 -0.34599796038757735 -0.3461040971370501
1292 -0.3461040971370501 -0.3481224031562841
1322 -0.3481224031562841 -0.36245513029160015
1564 -0.36245513029160015 -0.3666601079274618
1645 -0.3666601079274618 -0.3669239219314341
1675 -0.3669239219314341 -0.38133178839527576
1685 -0.370078682596012 -0.3701259705963198
1706 -0.37317310169988205 -0.3755319241245022
1715 -0.3755319241245022 -0.3777397002248628
1716 -0.3755319241245022 -0.3777791962296175
2138 -0.38072485601071077 -0.3871277260662858
2310 -0.38595018357675026 -0.38844273991621814
2330 -0.3862753633626002 -0.38652577668986815
2400 -0.3870578931541192 -0.3873684524491825
2410 -0.3873684524491825 -0.3874222930949845
2420 -0.3874222930949845 -0.387635045187937
2470 -0.3877162816496665 -0.38772064212545965
2752 -0.3883256678188483 -0.3893339931212048
2828 -0.3893339931212048 -0.3984901194031858
2953 -0.3901023179251969 -0.39124742561895715
4947 -0.39300997561967466 -0.4131348604309014
5141 -0.3992043379810333 -0.39935947008893946
5706 -0.40045257409826807 -0.40059998856238205
5897 -0.40059998856253326 -0.401110098403625
6692 -0.40269888459467845 -0.4302819828020059
7266 -0.4194710367610753 -0.46003348172089187
7368 -0.4302819828020059 -0.4418255208252878
7732 -0.45410082897598086 -0.4560933496696693
9335 -0.45691941980440237 -0.4614614171848576
9578 -0.4614614171848576 -0.46712863093552487
10869 -0.4711460821518853 -0.4937703960324235
27868 -0.47255586436318525 -0.4824265503760115
36042 -0.5097884181451392 -0.5158224284113854
47746 -0.5475791563709131 -0.5862325137156655

12 -0.1840913272028121 -0.22823425073013084
15 -0.1840913272028121 -0.18820746847283726
208 -0.2835449664004211 -0.2917970338228884
480 -0.33240461838530166 -0.34631682191686086
852 -0.3800970060862069 -0.3904704194742586
871 -0.3904704194742586 -0.3914280503177608
872 -0.3904704194742586 -0.40980709688099404
