best_dj2_step0_poor5rich5
eval_cnt fitness r/i/p
3209 1.4015288038251792e-11 r
3280 1.4014725066749563e-11 r
3361 1.4014375693099504e-11 r
3431 1.4014082434931651e-11 r
3512 1.4013679888591956e-11 r
3623 1.4013100520159884e-11 r
3694 1.4012874320966809e-11 r
3784 1.4012713662060133e-11 r
3875 1.4012464565308878e-11 r
3946 1.4012099022383949e-11 r
4057 1.4011552547902048e-11 r
4127 1.4011019850119829e-11 r
4208 1.4010851978912282e-11 r
4319 1.4010311371294383e-11 r
4390 1.4010103816213744e-11 r
4460 1.4009801081782522e-11 r
4508 1.1834707528048649e-11 r
4518 3.506676691452783e-12 r
4592 3.506483425172107e-12 r
4682 3.506211634552222e-12 r
4783 3.5061869108373062e-12 r
4854 3.5058841483056825e-12 r
4935 3.505688626044039e-12 r
5005 3.5056447426162243e-12 r
5086 3.5056360739985207e-12 r
5157 3.505525088668115e-12 r
5237 3.505376040756016e-12 r
5276 1.299771082072693e-12 r
5359 1.2996704003209124e-12 r
5459 1.2995992727684634e-12 r
5560 1.2995460948223215e-12 r
5651 1.299474498720812e-12 r
5722 1.2994641002016329e-12 r
5813 1.2994597136438115e-12 r
5914 1.2994232507808137e-12 r
6004 1.2993883355751312e-12 r
6105 1.2992864996679482e-12 r
6176 1.2992861891185043e-12 r
6257 1.2990758935363483e-12 r
6337 1.2988679279796771e-12 r
6418 1.2988360551408066e-12 r
6489 1.298605816935619e-12 r
6660 1.2985668777693498e-12 r
6731 1.2985119834693307e-12 r
6802 1.2983462978397781e-12 r
6882 1.2983348285470883e-12 r
7024 1.2981907943739305e-12 r
7104 1.2981621369964437e-12 r
7185 1.2979887838960533e-12 r
7256 1.297767958685832e-12 r
7336 1.2976491367727297e-12 r
7417 1.2975527387293031e-12 r
7488 1.2974158518873048e-12 r
7599 1.2972482598743156e-12 r
7669 1.2970150757311253e-12 r
7740 1.2969055917760906e-12 r
7811 1.2968104378929288e-12 r
7891 1.2967070219531181e-12 r
7982 1.2965001684661117e-12 r
8073 1.2964048814036365e-12 r
8144 1.2963827103398408e-12 r
8214 1.2962368627187105e-12 r
8285 1.296213632939856e-12 r
8366 1.2961826782076012e-12 r
8456 1.2960885516365594e-12 r
8527 1.295918354266457e-12 r
8598 1.2958941029058316e-12 r
8678 1.295715754192966e-12 r
8759 1.2956056456604686e-12 r
8830 1.2955924759384731e-12 r
8921 1.2955243588794503e-12 r
8991 1.2952690101351864e-12 r
9072 1.2951299898847461e-12 r
9183 1.2949317046528713e-12 r
9254 1.2948986355102036e-12 r
9324 1.2948719503561253e-12 r
9405 1.2946879394679806e-12 r
9476 1.2946507025499512e-12 r
9546 1.2945440130407216e-12 r
9617 1.2944243686683775e-12 r
9698 1.2944139733127977e-12 r
9778 1.2942578927263957e-12 r
9849 1.294015680432779e-12 r
9930 1.2938792733848607e-12 r
10021 1.2937265969115776e-12 r
10091 1.2936169974794266e-12 r
10162 1.2933764877794312e-12 r
10243 1.2931697604085713e-12 r
10323 1.2930062460010834e-12 r
10404 1.29298253008179e-12 r
10485 1.292944651382902e-12 r
10555 1.2929350335241113e-12 r
10626 1.2928629031985999e-12 r
10697 1.2926591359898858e-12 r
10808 1.2925756695020084e-12 r
10878 1.2923361817087881e-12 r
10949 1.2922106311134625e-12 r
11020 1.2921454531230663e-12 r
11181 1.2921105623929921e-12 r
11262 1.2920333489731815e-12 r
11332 1.2919257523183577e-12 r
11403 1.29185816281907e-12 r
11474 1.291683742606363e-12 r
11575 1.2916088272074838e-12 r
11655 1.291449757640823e-12 r
11726 1.2912903035353174e-12 r
11797 1.2911614038018012e-12 r
11877 1.2910618177385124e-12 r
11948 1.290948312528295e-12 r
12109 1.2907243600886991e-12 r
12190 1.2906110819020266e-12 r
12261 1.2905077476745461e-12 r
12331 1.2903069257096572e-12 r
12422 1.2902474113033419e-12 r
12493 1.2900630053503225e-12 r
12604 1.2900021137894156e-12 r
12674 1.2898549537030556e-12 r
12692 8.166278647975947e-13 r
12775 8.165792009188099e-13 r
12846 8.165728228617854e-13 r
12927 8.164874416873787e-13 r
12997 8.164653632208078e-13 r
13068 8.163627481070704e-13 r
13139 8.162413245143728e-13 r
13219 8.161404823637723e-13 r
13290 8.159272717745942e-13 r
13361 8.158915474761033e-13 r
13472 8.157685461694654e-13 r
13552 8.156287685478148e-13 r
13623 8.155646804648942e-13 r
13704 8.155396918075323e-13 r
13795 8.154402063743096e-13 r
13865 8.153302698805434e-13 r
13946 8.152492051452705e-13 r
14017 8.152033364065374e-13 r
14097 8.151720233931405e-13 r
14168 8.150202496943711e-13 r
14239 8.148176752253853e-13 r
14319 8.147911894239198e-13 r
14440 8.14767523243427e-13 r
14511 8.147127617672293e-13 r
14592 8.146834034942715e-13 r
14662 8.145466549608914e-13 r
14733 8.143966168193119e-13 r
14814 8.143584586034776e-13 r
14894 8.142623596701587e-13 r
14965 8.142398095762593e-13 r
15056 8.141068755918782e-13 r
15137 8.140597534891779e-13 r
15227 8.139323544569696e-13 r
15298 8.13878652561345e-13 r
15379 8.137561124644732e-13 r
15449 8.135499188980838e-13 r
15520 8.13505180086264e-13 r
15621 8.135049739329121e-13 r
15692 8.133967632882939e-13 r
15772 8.13386785007369e-13 r
15843 8.131840167363397e-13 r
15914 8.131316012337523e-13 r
16015 8.131039495200972e-13 r
16095 8.130385605884937e-13 r
16166 8.130204890568276e-13 r
16247 8.130187147483074e-13 r
16327 8.130171079039169e-13 r
16408 8.129108471004402e-13 r
16479 8.127963608770099e-13 r
16570 8.126107834474931e-13 r
16650 8.125474384121776e-13 r
16721 8.124077095458853e-13 r
