pass_rich_deceptive30_step0_poor3rich7
eval_cnt worst_rich_fitness new_rich_fitness
91 -0.11870572962562422 -0.1593281043527914
92 -0.11870572962562422 -0.13428908001270706
134 -0.1295062061644328 -0.13085980966317298
931 -0.1784852633509612 -0.17983337177396336
1606 -0.181144821528094 -0.1851275836424343
1777 -0.1851275836424343 -0.1856725162684246
1828 -0.1856725162684246 -0.19370472232996974
1988 -0.19370472232996974 -0.2064219777341651
2058 -0.2064219777341651 -0.2147399709529583
2149 -0.2153805296520117 -0.21612538736585032
2431 -0.2184070716692205 -0.2205008500578429
2481 -0.2205008500578429 -0.29448219751989185
4549 -0.2302671946108772 -0.2319736504355202
4861 -0.2319736504355202 -0.23224065175539213
4891 -0.23451309292294492 -0.2620570873693011
5718 -0.24138675252173178 -0.24906049766312316
7060 -0.2430463004324054 -0.26313866875347636
7967 -0.29654399843145807 -0.32881764534004704
26192 -0.2974663510355417 -0.3068882729336826
27775 -0.29787888946130553 -0.36350546609883244
39713 -0.32281315762512175 -0.33747590215935475
53344 -0.33971085398215667 -0.34202014234869493
56503 -0.3650161771802072 -0.3751381227494656
72073 -0.39589444116128636 -0.41457128066782784

11 -0.09890088041235771 -0.13385188821228755
335 -0.17512790723302593 -0.1868141257007023
475 -0.19920983659735192 -0.2000353639715294
505 -0.2000353639715294 -0.20941105207730515
657 -0.20941105207730515 -0.214792178290565
666 -0.214792178290565 -0.2185120934547033
715 -0.2185120934547033 -0.2277079285938865
1211 -0.23206566313394777 -0.2514422533722978
8585 -0.24008093254115873 -0.24640669071540852
9091 -0.24640669071540852 -0.24949600880560663
10059 -0.24972917132021485 -0.2536473148959585
10603 -0.2536473148959585 -0.2596082621096334
24377 -0.28290934231653825 -0.2899056282841146
25959 -0.28619258796508684 -0.2914934338529707
27655 -0.30159694024330824 -0.3089628754049131
34830 -0.3054271106406239 -0.3091693939916227
55232 -0.34145596791465765 -0.3466610571006641
56423 -0.3466610571006641 -0.3467586419783139
59611 -0.3549879846097752 -0.36289167951140605
62063 -0.36289167951140605 -0.37481206371537046
72838 -0.3906660751238563 -0.3928196210845167
75241 -0.3928196210845167 -0.3941742562359221

22 -0.11643757156132066 -0.11813329706552385
527 -0.1936388176789127 -0.19824986654269106
536 -0.19824986654269106 -0.20994887781373092
949 -0.22237838668566914 -0.22949106379791204
1091 -0.22949106379791204 -0.22959835335327994
1181 -0.2409848446085928 -0.25768696130399915
3782 -0.25392771524217755 -0.25411936105618954
3905 -0.25411936105618954 -0.25489849330230935
11127 -0.2625749453776761 -0.2631640514698226
22027 -0.2653823799309964 -0.2758480425407773
22147 -0.2758480425407773 -0.2824168413865221
27385 -0.2877092756193373 -0.34861568652836866
28505 -0.29171086322283196 -0.32011593098918223
45932 -0.3176272917022854 -0.31849937153805613
46928 -0.34390201931958825 -0.3890262632677374
57442 -0.346656691399213 -0.3643971059861704
81763 -0.3666454236234744 -0.3777579155227517
81984 -0.37138211335109733 -0.4296215262415485
83727 -0.37969441737091914 -0.3814475523723296
95121 -0.3837691790522027 -0.3842902653318465
97623 -0.40333979103991896 -0.4178561824044213
98077 -0.41995721364680116 -0.4286379171102563
98722 -0.42806814044229435 -0.42824364575855756
98903 -0.42824364575855756 -0.42893768382026665
99780 -0.43250391596696774 -0.4347723368968013

12 -0.0896288481418291 -0.14564111207833247
13 -0.0896288481418291 -0.1251839832117393
22 -0.09425041667665256 -0.10275569102938366
141 -0.13955152604189847 -0.1723152853437004
142 -0.13955152604189847 -0.15960119328721256
880 -0.17570996191454488 -0.17619859292172707
919 -0.17619859292172707 -0.1763929242783598
1434 -0.18278525580657473 -0.18447729570912857
1797 -0.19742365673608359 -0.20505609820724996
2865 -0.21077354625819583 -0.21108068467796348
2935 -0.21108068467796348 -0.22467152891157274
3469 -0.21425384811458734 -0.22336798157985177
3650 -0.22336798157985177 -0.23313815885592182
6091 -0.23009139062271614 -0.23914603825876238
6110 -0.23914603825876238 -0.2494184734970405
6210 -0.2505602140113033 -0.2714942902843879
19207 -0.259309683402107 -0.26690667266412155
19461 -0.26690667266412155 -0.37775753993045874
28532 -0.2722346730763734 -0.30989674973854814
29489 -0.2794093195762871 -0.29035337193171
31062 -0.29768452027189185 -0.30526168685578436
34161 -0.30458475528645057 -0.3202696233053669
34504 -0.3202696233053669 -0.32073244578543886
34967 -0.32579552381287624 -0.3276398967272391
36288 -0.32908066127982843 -0.32909077876483117
59618 -0.3404637213492322 -0.34868225591074414
59720 -0.34868225591074414 -0.45192130020967725

142 -0.16805613171359265 -0.20480587411805865
213 -0.18302825548563656 -0.22664315598443205
829 -0.21401975602990267 -0.21922255834268664
959 -0.21922255834268664 -0.2261142281544713
979 -0.2261142281544713 -0.22637417541861832
1029 -0.23706867263397544 -0.23884435946308655
1090 -0.25058537245775253 -0.2595986987080576
1270 -0.2633908395401715 -0.3612690978079253
1461 -0.283301008489149 -0.32537841331319667
2460 -0.3044955366439132 -0.3100015276048004
28121 -0.3437055539477618 -0.3715699042628411
36676 -0.34800461067007205 -0.37620972752784454
37020 -0.36357996245490876 -0.4157395429766527
91308 -0.39448720583184227 -0.39782879891643275
91671 -0.39782879891643275 -0.4641124969408009

13 -0.1425838655264378 -0.15982146795445631
23 -0.1032577796650855 -0.10692331683471068
33 -0.10692331683471068 -0.10877398730656004
193 -0.12930329377509456 -0.14115596129449468
546 -0.2165896595168727 -0.26838888337592304
19153 -0.27075591912734004 -0.27777249080010313
20968 -0.2725976313326032 -0.28232114322825375
21413 -0.27777249080010313 -0.2914101303523986
22543 -0.29784589891899116 -0.29927061623427953
22664 -0.29927061623427953 -0.30004391190534235
23510 -0.3027812568897522 -0.34284504230403207
37850 -0.32594948435579174 -0.3328697168293475
45860 -0.33366958916979267 -0.34146734622494507
47325 -0.33425082594764877 -0.3363275879068218
49050 -0.34146734622494507 -0.3422664152474077
60048 -0.36787436994948236 -0.3926105549826891
79614 -0.3734912984791785 -0.4123193321090642

13 -0.09617726915522866 -0.18496225977490344
131 -0.11956117484579538 -0.16597294850768124
132 -0.11956117484579538 -0.15986024874093946
648 -0.17418036878092352 -0.17465672850556857
667 -0.17465672850556857 -0.1767772623575269
708 -0.17952197902240669 -0.1811150777719957
778 -0.1811150777719957 -0.18308705532774938
857 -0.18308705532774938 -0.18654581951886898
906 -0.18654581951886898 -0.19180331307501872
916 -0.19180331307501872 -0.1949147528591054
927 -0.1949147528591054 -0.19849806089449812
968 -0.19849806089449812 -0.21039271866397624
987 -0.21039271866397624 -0.21956786403081072
1532 -0.2127971605777278 -0.21607872587441007
1641 -0.21607872587441007 -0.21855143750916806
1661 -0.21855143750916806 -0.21908375559176246
1672 -0.21908375559176246 -0.2243892098862957
2418 -0.2220396418555042 -0.23052372572151977
2841 -0.2307174483646074 -0.23146468187364055
3113 -0.23165183256767916 -0.24165369646522278
3304 -0.23193952481728483 -0.23377068622222374
3435 -0.2337706862531823 -0.23451081320253908
3656 -0.23626346904385456 -0.2368805173864846
3797 -0.23690987080108583 -0.2373501309661268
3846 -0.23749175623969143 -0.2387824047262409
3927 -0.2387824047262409 -0.2390002296976053
5530 -0.2503690546853044 -0.2532215431086127
5681 -0.2532215431086127 -0.2621908747161927
6760 -0.2551731432628166 -0.27113775167004217
8455 -0.26064313761263835 -0.27540372371311683
9273 -0.26721340224420026 -0.27220723735261176
11815 -0.2882157998290924 -0.29210899576616567
11966 -0.29210899576616567 -0.344095311670414
14902 -0.30144096532903786 -0.3368518182600692
28766 -0.3119413210487637 -0.3172813617828607
30380 -0.3172813617828607 -0.32335647369595366
33607 -0.3206596406463108 -0.34943556249317786
33991 -0.33302567857404997 -0.4011713603970491
48097 -0.3537995843819075 -0.3797257843102512
55625 -0.35766986417346136 -0.3587482253823357
56059 -0.35936427216523764 -0.4560881681729836
57199 -0.3705616965275885 -0.3761216387561466
84626 -0.399959696515617 -0.4125238454228029
99237 -0.41303045073569533 -0.4251061924908215

11 -0.12054025978679238 -0.1334798008913396
131 -0.13177466900264648 -0.1497324307632988
578 -0.18133630741858905 -0.1904239012937021
597 -0.1930652461122882 -0.20154696946738399
608 -0.20154696946738399 -0.221335948401017
1152 -0.22205227797167323 -0.234482516318571
1444 -0.23944882267508982 -0.24326804120956247
1604 -0.24326804120956247 -0.25197772749901115
2785 -0.25035967718042756 -0.2524428545675253
3239 -0.25080748474545544 -0.2508365665757273
7245 -0.25641930497286164 -0.25898398946977136
7699 -0.25898398946977136 -0.2635800274134283
26788 -0.2835045705465168 -0.29168865317439957
28655 -0.29174542601867337 -0.30299861208167606
33277 -0.30463899113517706 -0.31545630754175374
57553 -0.3433158371780075 -0.35518626361185907
65292 -0.34876898271320916 -0.3585113460659116
79016 -0.360251053954113 -0.3704905534696634

53 -0.11084060094325088 -0.11866364258814414
113 -0.11866364258814414 -0.12813754279847483
171 -0.14842727945473874 -0.16233941790952877
172 -0.14842727945473874 -0.16403810880804498
476 -0.18791652439372922 -0.18974788160240516
849 -0.20674372277364939 -0.2092548128286153
859 -0.2092548128286153 -0.21659311624245972
1373 -0.22838856114738432 -0.22939429377823906
1706 -0.24085099593719647 -0.2442449248362033
3480 -0.25024303175055235 -0.2525619530286357
4851 -0.25278608877074543 -0.25319877091630405
5367 -0.25319877091630405 -0.25331169016671684
6243 -0.2562308551156339 -0.2584838225443677
6322 -0.2584838225443677 -0.2617148819680934
6909 -0.2617148819680934 -0.26632952017700223
12004 -0.26851985161224323 -0.28939647546134145
13618 -0.27674994033410877 -0.2875488496917562
28278 -0.30091645786001 -0.30856548273598483
29662 -0.30856548273598483 -0.31084292603734853
32891 -0.3130321971432041 -0.33127536931055324
33404 -0.3144928383070665 -0.4148756607804983
37532 -0.3418975227519002 -0.3436458905220715
37814 -0.3436458905220715 -0.35513001404868355
43594 -0.3456305327378229 -0.3583662076499027
74250 -0.36687914484962625 -0.3864265674092541
90839 -0.387637334469316 -0.41327373247508253

53 -0.10909423957629516 -0.11607410750650723
63 -0.11607410750650723 -0.11774447683790976
73 -0.11774447683790976 -0.1248613245184017
294 -0.14290676736229074 -0.14810534461468303
304 -0.14810534461468303 -0.15304757623875972
