best_shubert2_step1_poor3rich7
eval_cnt fitness r/i/p
1 -0.1830154446832766 i
2 -49.82132187064192 i
9 -64.09553330300842 i
19 -71.8892296270681 r
40 -78.07466288278235 r
240 -78.07466288511716 r
260 -78.07658386423171 r
280 -78.07888835204272 r
290 -78.07892605870371 r
300 -78.08693434053573 r
310 -78.0927117476603 r
320 -78.10343146337004 r
351 -78.10730213869388 r
361 -78.12872501836465 r
391 -78.12904744133549 r
401 -78.15037564030244 r
411 -78.15507633809541 r
421 -78.15579328322606 r
492 -78.15579328825264 r
502 -78.15640147865292 r
532 -78.15979162590317 r
542 -78.1601697523835 r
572 -78.16810824310878 r
592 -78.17555118409767 r
602 -78.18883770075226 r
623 -78.21101888318475 r
633 -78.2168904503936 r
643 -78.23307078933125 r
653 -78.23450390311882 r
662 -78.65386737241555 r
683 -79.394557948523 r
734 -79.3985561101468 r
804 -79.39885036440353 r
814 -79.39909989567582 r
824 -79.40184985136271 r
834 -79.40464063265362 r
845 -79.40496722052603 r
865 -79.40834681051986 r
875 -79.4090810815191 r
885 -79.40908304013544 r
925 -79.4100458029563 r
935 -79.41047796562562 r
1015 -79.4104779657464 r
1055 -79.41049677697856 r
1116 -79.4105220974001 r
1156 -79.41056003147449 r
1176 -79.41056744110743 r
1186 -79.41059715336033 r
1196 -79.4107080395766 r
1226 -79.41085424757158 r
1256 -79.41089786003919 r
1297 -79.41089915495513 r
1398 -79.41089915497047 r
1408 -79.41090032660449 r
1418 -79.41091188911082 r
1489 -79.41091188911676 r
1559 -79.41091188912156 r
1569 -79.41091317517731 r
1640 -79.4109131751779 r
1711 -79.41091317517892 r
1781 -79.41091317518018 r
1861 -79.41091317518055 r
1942 -79.41091317518088 r
2032 -79.41091317518202 r
2103 -79.4109131751823 r
2173 -79.41091317518375 r
2295 -79.41091317518482 r
2375 -79.41091317518591 r
2446 -79.41091317518674 r
2517 -79.41091317518807 r
2587 -79.4109131751891 r
2678 -79.41091317518936 r
2749 -79.41091317518975 r
2850 -79.41091317519101 r
2930 -79.41091317519184 r
2979 -79.41091321652779 r
3061 -79.41091321652796 r
3142 -79.41091321652809 r
3213 -79.4109132165283 r
3283 -79.41091321652858 r
3354 -79.41091321652905 r
3445 -79.41091321652921 r
3516 -79.41091321652932 r
3586 -79.41091321652944 r
3667 -79.4109132165298 r
3768 -79.41091321653025 r
3838 -79.41091321653042 r
3900 -129.8952324341982 p
4040 -147.909447030651 r
4151 -174.20951197333756 r
4181 -185.4699899408879 r
4534 -185.8635418059976 r
4726 -186.64723981183965 r
4817 -186.64723981341172 r
4827 -186.64763894541665 r
4847 -186.6482342472545 r
4857 -186.6504775913703 r
4867 -186.65068830027877 r
4877 -186.65347233497826 r
4887 -186.65647695083405 r
4928 -186.66226804916877 r
4938 -186.66692606024554 r
4948 -186.66742129799687 r
4968 -186.66754051022232 r
4978 -186.6771862713506 r
4988 -186.67956706280395 r
4998 -186.6819509634167 r
5018 -186.687958950468 r
5028 -186.6983605505121 r
5139 -186.69836055179644 r
5150 -186.69862614418545 r
5160 -186.6997544908812 r
5180 -186.70128424367715 r
5200 -186.70173708628153 r
5240 -186.7020379804755 r
5250 -186.7037625687751 r
5261 -186.7066663839528 r
5291 -186.71067571421364 r
5301 -186.7139811384572 r
5311 -186.71653640178778 r
5321 -186.7182855905751 r
5331 -186.72080529858388 r
5361 -186.72206031086165 r
5382 -186.7236371579068 r
5402 -186.7263936090491 r
5422 -186.7265057050115 r
5442 -186.72974091591217 r
5462 -186.73023122485012 r
5483 -186.73089598792387 r
5563 -186.73089598795224 r
