best_rastrigin2_step1_poor7rich3
eval_cnt fitness r/i/p
1 55.577501184646046 i
2 32.68717479352554 i
3 3.6172955016873516 i
70 3.4812403129872322 r
99 1.433496940963721 r
129 1.0591726216711237 r
210 1.0507054143771626 r
230 1.011205007261303 r
332 1.0103393176733633 r
342 1.0095441134828427 r
352 1.0087010696215657 r
413 1.0076879502874547 r
473 1.0068742352923863 r
493 1.0067805910512817 r
498 1.004359742952694 p
572 1.0038322090731242 r
593 1.0030777220429528 r
596 0.9532250154388464 p
607 0.13962853968862277 p
642 0.09082498333921052 r
742 0.08876137269441031 r
753 0.06814753518715833 r
784 0.017055025667580992 r
853 0.006251121373903601 r
895 0.004104970938222152 r
925 0.00013964517464160053 r
1016 0.00013964516251618875 r
1026 0.00013183352017165362 r
1056 0.00012176313363454483 r
1066 0.00010569713415975457 r
1076 7.493737187758143e-05 r
1096 5.446619050530899e-05 r
1127 2.7703635467446475e-05 r
1167 4.587542917988685e-06 r
1237 4.587538192879492e-06 r
1258 2.7661491159847174e-06 r
1268 9.089340764489862e-07 r
1308 4.883561075530451e-07 r
1388 4.883546154133e-07 r
1398 3.2726601517651943e-07 r
1449 2.669241965236324e-07 r
1529 2.669238980956834e-07 r
1559 1.90728052018585e-07 r
1629 1.9072685120136157e-07 r
1639 1.0921390014573262e-08 r
1770 1.0921162640897819e-08 r
1861 1.092113066647471e-08 r
1881 6.466400748195156e-09 r
1951 6.466379431913083e-09 r
2051 6.466258639648004e-09 r
2122 6.466034818686239e-09 r
2193 6.466009949690488e-09 r
2263 6.465864288429657e-09 r
2344 6.4656582310362865e-09 r
2415 6.4656404674678924e-09 r
2485 6.465555202339601e-09 r
2556 6.4653917775103764e-09 r
2586 4.185679358670313e-09 r
2677 4.185650936960883e-09 r
2758 4.185611857110416e-09 r
2828 4.185530144695804e-09 r
2899 4.185348956298185e-09 r
2907 2.3446879993116454e-09 r
2990 2.3445920760423178e-09 r
3101 2.3444712837772386e-09 r
3172 2.3443789132215898e-09 r
3242 2.3442972008069773e-09 r
3313 2.3441728558282193e-09 r
3394 2.3441018015546433e-09 r
3545 2.3440769325588917e-09 r
3626 2.3440094309989945e-09 r
3716 2.3439241658707033e-09 r
3787 2.3438992968749517e-09 r
3858 2.3437571883277997e-09 r
3928 2.3437074503362965e-09 r
3999 2.3435831053575384e-09 r
4070 2.343448102237744e-09 r
4150 2.3433557316820952e-09 r
4251 2.343234939417016e-09 r
4332 2.3431034890109004e-09 r
4361 1.3095977635657619e-09 r
4442 5.035474259784678e-10 r
4564 5.035190042690374e-10 r
4645 5.035154515553586e-10 r
4715 5.034763717048918e-10 r
4816 5.034408445681038e-10 r
4887 5.034124228586734e-10 r
4958 5.03384001149243e-10 r
5048 5.033768957218854e-10 r
5119 5.03330710444061e-10 r
5190 5.033200523030246e-10 r
5260 5.03312946875667e-10 r
5331 5.032703143115214e-10 r
5422 5.03224129033697e-10 r
5503 5.031566274737997e-10 r
5573 5.031353111917269e-10 r
5684 5.031282057643693e-10 r
5775 5.031139949096541e-10 r
5846 5.030997840549389e-10 r
5916 5.030678096318297e-10 r
5997 5.030642569181509e-10 r
6068 5.030322824950417e-10 r
6138 5.030287297813629e-10 r
6209 5.030216243540053e-10 r
6290 5.030145189266477e-10 r
6380 5.029683336488233e-10 r
6451 5.029612282214657e-10 r
6532 5.029079375162837e-10 r
6602 5.028297778153501e-10 r
6673 5.027906979648833e-10 r
6754 5.027587235417741e-10 r
6824 5.027445126870589e-10 r
6895 5.027160909776285e-10 r
6976 5.026876692681981e-10 r
7046 5.026485894177313e-10 r
7117 5.026379312766949e-10 r
7198 5.025810878578341e-10 r
7279 5.025455607210461e-10 r
7369 5.025349025800097e-10 r
7450 5.025171390116157e-10 r
7551 5.024887173021853e-10 r
7642 5.024460847380396e-10 r
7712 5.02403452173894e-10 r
7781 3.965041628362087e-10 r
7854 3.965006101225299e-10 r
7945 3.964650829857419e-10 r
8015 3.964366612763115e-10 r
8096 3.964046868532023e-10 r
8167 3.963549488616991e-10 r
8237 3.963442907206627e-10 r
8318 3.963087635838747e-10 r
8389 3.9624836745133507e-10 r
8459 3.9621284031454707e-10 r
8560 3.9616310232304386e-10 r
8631 3.9610625890418305e-10 r
8722 3.9606362634003744e-10 r
8802 3.9604941548532224e-10 r
8873 3.9603520463060704e-10 r
8964 3.9597480849806743e-10 r
9034 3.9595704492967343e-10 r
9105 3.9594638678863703e-10 r
9196 3.9593572864760063e-10 r
9297 3.95893096083455e-10 r
9398 3.958717798013822e-10 r
9478 3.958646743740246e-10 r
9549 3.95839805378273e-10 r
9620 3.958184890962002e-10 r
9690 3.95804278241485e-10 r
9761 3.958007255278062e-10 r
9842 3.957794092457334e-10 r
9943 3.957723038183758e-10 r
10043 3.957119076858362e-10 r
10114 3.957012495447998e-10 r
10185 3.956728278353694e-10 r
10255 3.956586169806542e-10 r
10346 3.956515115532966e-10 r
10437 3.956373006985814e-10 r
10508 3.955662464250054e-10 r
10578 3.9552006114718097e-10 r
10649 3.9547387586935656e-10 r
10760 3.9543124330521096e-10 r
10831 3.9539571616842295e-10 r
10911 3.9536018903163495e-10 r
10982 3.9533176732220454e-10 r
11053 3.9531045104013174e-10 r
11123 3.9529624018541654e-10 r
11194 3.9528913475805894e-10 r
11264 3.9526071304862853e-10 r
11345 3.9524650219391333e-10 r
11416 3.9523229133919813e-10 r
11507 3.952180804844829e-10 r
11577 3.951612370656221e-10 r
11648 3.951470262109069e-10 r
11729 3.951257099288341e-10 r
11799 3.951150517877977e-10 r
11870 3.951114990741189e-10 r
11951 3.950475502279005e-10 r
12041 3.949907068090397e-10 r
12112 3.949871540953609e-10 r
12183 3.949267579628213e-10 r
12304 3.949054416807485e-10 r
12374 3.948912308260333e-10 r
12445 3.948770199713181e-10 r
12526 3.9483083469349367e-10 r
12645 1.3936585219198605e-10 r
12738 1.3935164133727085e-10 r
