best_deceptive2_step0_poor7rich3
eval_cnt fitness r/i/p
1 -0.15035377002018704 i
2 -0.168618600545598 i
3 -0.19107145558455346 i
9 -0.4254252540564466 i
19 -0.42768730963735885 r
30 -0.42933508780686874 r
40 -0.4323318373715736 r
50 -0.4377420054247538 r
60 -0.4731749939212822 r
149 -0.4781186067499969 r
150 -0.4962156444599546 r
169 -0.5055470644994886 r
180 -0.5435935148501468 r
219 -0.5442188729270926 r
239 -0.5463199433007531 r
269 -0.5506683471725355 r
270 -0.5654896024376745 r
339 -0.5835160523049439 r
531 -0.5836218644636946 r
542 -0.5837066800718967 r
572 -0.5838681690894559 r
592 -0.5840514890030089 r
612 -0.5843012548523567 r
632 -0.5846543038886058 r
642 -0.5847094499067208 r
673 -0.5847956027117598 r
693 -0.5848072633687978 r
713 -0.5850466341058239 r
723 -0.5851217660894961 r
733 -0.5851674241752453 r
743 -0.585443951067144 r
774 -0.5854871377797262 r
784 -0.5855745795350678 r
794 -0.5857185196649087 r
804 -0.585767592055106 r
824 -0.5861587788546457 r
854 -0.5862816201691817 r
875 -0.5863725506222037 r
885 -0.586390553992213 r
925 -0.586418299448825 r
1016 -0.5864182998829924 r
1026 -0.5864252262915886 r
1056 -0.5864505361037561 r
1127 -0.5864505362318726 r
1167 -0.5864981646924039 r
1224 -0.7087783864465245 p
1449 -0.7279795279504868 r
1490 -0.7526874199921371 r
1671 -0.7644731378341313 r
1863 -0.7646208942138247 r
1873 -0.7648423176892633 r
1883 -0.7648896446426662 r
1914 -0.7651293622682869 r
1934 -0.7653145739961028 r
1944 -0.7656045532814272 r
1964 -0.7659790480716883 r
1974 -0.7665548149221036 r
1984 -0.7671336947605375 r
1994 -0.767150230482047 r
2004 -0.7673963311910348 r
2025 -0.7675304130154248 r
2045 -0.767736346239031 r
2136 -0.7677363464558673 r
2146 -0.7677573841081007 r
2166 -0.7678032817835195 r
2216 -0.7678596691834345 r
2287 -0.7678596698030903 r
2327 -0.7678689518835538 r
2397 -0.7678689532076135 r
2427 -0.7678756322519189 r
2507 -0.7678756328479848 r
2608 -0.7678756335081937 r
2618 -0.7678768708093414 r
2709 -0.7678768710936132 r
2718 -0.8949291011437904 r
2939 -0.925508685363912 r
3020 -0.972775660105572 r
3060 -0.9852092751835619 r
3202 -0.9852092755455414 r
3212 -0.9852718227422302 r
3222 -0.9854621797255139 r
3252 -0.985465642664461 r
3282 -0.9855477008512242 r
3292 -0.9860471111691461 r
3363 -0.9860471122471418 r
3373 -0.9861232108383795 r
3383 -0.9861729201481706 r
3393 -0.9863453888026766 r
3424 -0.9865091422962783 r
3464 -0.9865680266192003 r
3514 -0.9866450016702638 r
3545 -0.9867759367565149 r
3565 -0.9868023296944727 r
3595 -0.9874009267812882 r
3686 -0.9874009277320188 r
3696 -0.9874176188940441 r
3706 -0.9874230867987851 r
3736 -0.9875476225103256 r
3777 -0.9877629620780397 r
3787 -0.9882138552862924 r
3797 -0.9886647924629629 r
3807 -0.9887924254002968 r
3837 -0.9888657517611434 r
3847 -0.9895895013822312 r
3868 -0.9898853654791315 r
3878 -0.9900216694496516 r
3898 -0.990940524524227 r
3938 -0.9917774990854225 r
4018 -0.9917775015551706 r
4028 -0.9917952475615568 r
4038 -0.9919149555927411 r
4129 -0.9919149558788196 r
4139 -0.9920189530774003 r
4149 -0.9920736300820054 r
4159 -0.9921599110168311 r
4180 -0.9921696005388079 r
4190 -0.9923745328082851 r
4220 -0.9923989174515743 r
4240 -0.9931538105897345 r
4311 -0.9931538113051431 r
4331 -0.9932589150675661 r
4392 -0.9933835354834487 r
4422 -0.9934413175250628 r
4452 -0.9936873376739304 r
4472 -0.99382823828802 r
4492 -0.9939470071946828 r
4593 -0.9939470090674414 r
4614 -0.9939651522699233 r
4684 -0.993965153409687 r
4694 -0.9939892260660411 r
4714 -0.9939943118338828 r
4725 -0.9941458766087278 r
4765 -0.994153009389819 r
4795 -0.9943409621951956 r
4805 -0.994404382693884 r
4815 -0.9949524431428901 r
4846 -0.9953417575766341 r
4856 -0.995352342617943 r
4896 -0.9960829028685607 r
4967 -0.9960829039500197 r
4977 -0.9961500058409222 r
5007 -0.9961811405196115 r
5027 -0.996347951963466 r
5047 -0.996740316386133 r
5058 -0.9969270435701765 r
5128 -0.9969270439356681 r
5138 -0.9970208987429691 r
5179 -0.9970522687021536 r
5189 -0.9971214396016853 r
5199 -0.9973671628674378 r
5239 -0.9974541188332556 r
5259 -0.9977103028129071 r
5269 -0.9980392640171858 r
5290 -0.9981197689065628 r
5300 -0.9984286732599377 r
5320 -0.9994321842944014 r
5391 -0.999432186250806 r
5401 -0.9995812100835818 r
5431 -0.9996546935417002 r
5441 -0.9998260498079777 r
5491 -0.999938273117355 r
5582 -0.9999382739110954 r
5653 -0.9999382739759466 r
5663 -0.9999693669955055 r
5744 -0.9999693676494881 r
5814 -0.9999693692793145 r
5915 -0.9999693702794016 r
5996 -0.9999693706632553 r
6067 -0.9999693736084485 r
6137 -0.9999693742150289 r
6218 -0.9999693744497823 r
6299 -0.9999693767343895 r
6400 -0.9999693772485931 r
6470 -0.9999693782195908 r
6541 -0.9999693796538893 r
6632 -0.9999693809115634 r
6702 -0.9999693824289007 r
6783 -0.9999693836725375 r
6854 -0.9999693847370141 r
6924 -0.999969384948984 r
6995 -0.9999693862967423 r
7035 -0.9999718161770399 r
7106 -0.9999718180044012 r
7177 -0.9999718183266008 r
7257 -0.9999718193488563 r
7328 -0.9999718201303981 r
7399 -0.9999718209192249 r
7469 -0.9999718213306019 r
