best_shubert2_step1_poor7rich3
eval_cnt fitness r/i/p
1 -0.1830154446832766 i
2 -49.82132187064192 i
9 -64.09553330300842 i
19 -71.8892296270681 r
80 -74.44567036241854 r
90 -74.9450909068998 r
150 -78.28413129352226 r
161 -128.83518214059148 i
251 -134.8959363492139 r
281 -142.5941850079305 r
292 -169.09992358241396 r
302 -171.02053909664247 r
372 -177.663045093312 r
423 -182.5600346505507 r
433 -185.0859630332612 r
493 -186.14288420044278 r
553 -186.68312360149068 r
684 -186.68312360205664 r
704 -186.6836541322315 r
735 -186.68525115320455 r
755 -186.68611758707726 r
775 -186.6885958413683 r
805 -186.69027927420902 r
825 -186.69137670201442 r
846 -186.69425888205345 r
856 -186.69554963287808 r
876 -186.7028313188534 r
886 -186.7028876723842 r
906 -186.70382876549232 r
916 -186.70586562016942 r
936 -186.7097118148641 r
946 -186.71838395819495 r
967 -186.71847700343994 r
977 -186.72082625652902 r
997 -186.72437949985914 r
1088 -186.72437950056008 r
1128 -186.7245281123251 r
1158 -186.72494487680174 r
1189 -186.72522638321956 r
1199 -186.72638099005005 r
1209 -186.72688640900773 r
1229 -186.72742445258632 r
1249 -186.72813870254672 r
1290 -186.72838811185773 r
1299 -186.72934089477127 r
1310 -186.72984117826715 r
1319 -186.7303206061379 r
1330 -186.73032901100322 r
1350 -186.73046091871137 r
1380 -186.73063614623112 r
1390 -186.73084959986724 r
1471 -186.730849599878 r
1522 -186.73087065924923 r
1542 -186.730891914375 r
1602 -186.73090677709 r
1703 -186.73090677709982 r
1774 -186.7309067771102 r
1824 -186.73090718931218 r
1905 -186.73090718931587 r
1935 -186.7309078646274 r
2006 -186.73090786462748 r
2045 -186.7309083450573 r
2147 -186.73090834505945 r
2177 -186.73090854771092 r
2257 -186.73090854771465 r
2286 -186.73090873983043 r
2367 -186.7309087398325 r
2438 -186.73090873983344 r
2529 -186.7309087398337 r
2620 -186.73090873983531 r
2659 -186.7309087574213 r
2741 -186.7309087574223 r
2821 -186.73090875742434 r
2892 -186.73090875742565 r
2912 -186.7309087739869 r
3003 -186.73090877398965 r
3074 -186.73090877398988 r
3154 -186.73090877399187 r
3235 -186.7309087739926 r
3306 -186.73090877399517 r
3397 -186.73090877399682 r
3467 -186.73090877399687 r
3538 -186.73090877399744 r
3557 -186.73090882703426 r
3629 -186.73090882703494 r
3699 -186.73090882703528 r
3770 -186.73090882703548 r
3841 -186.7309088270357 r
3911 -186.73090882703613 r
3982 -186.7309088270367 r
4053 -186.7309088270371 r
4123 -186.73090882703764 r
4194 -186.73090882703826 r
4264 -186.7309088270385 r
4335 -186.73090882703858 r
4416 -186.7309088270387 r
4497 -186.73090882703914 r
4597 -186.7309088270395 r
4678 -186.73090882703974 r
4749 -186.73090882703988 r
4819 -186.7309088270399 r
4900 -186.7309088270403 r
4981 -186.73090882704076 r
5052 -186.7309088270409 r
5122 -186.73090882704105 r
5203 -186.73090882704116 r
5284 -186.73090882704136 r
5354 -186.73090882704142 r
5425 -186.73090882704196 r
5526 -186.73090882704204 r
5596 -186.73090882704227 r
5667 -186.73090882704267 r
5738 -186.73090882704295 r
5808 -186.73090882704318 r
5879 -186.73090882704363 r
5950 -186.7309088270438 r
6020 -186.7309088270441 r
6101 -186.73090882704423 r
6172 -186.7309088270448 r
6242 -186.73090882704523 r
6343 -186.73090882704557 r
6414 -186.73090882704597 r
6525 -186.7309088270462 r
6595 -186.73090882704662 r
6666 -186.730908827047 r
6767 -186.73090882704741 r
6858 -186.73090882704776 r
6928 -186.7309088270484 r
7019 -186.73090882704867 r
7090 -186.73090882704886 r
