pass_rich_deceptive10_step0_poor3rich7
eval_cnt worst_rich_fitness new_rich_fitness
23 -0.08825122287420843 -0.08925576862042461
33 -0.09380072453526533 -0.11019734445326497
73 -0.11297264786893099 -0.1309731795999368
113 -0.1309731795999368 -0.16064148412354987
577 -0.21918552479872647 -0.2298680625095937
788 -0.22115005642348784 -0.23305949663902
5287 -0.2787766295570393 -0.2788063430847804
5832 -0.29007350207063376 -0.2924636082637458
5993 -0.2973843483070851 -0.2989058246067047
6101 -0.2990453290934569 -0.3080607162782091
6456 -0.3080607162782091 -0.308465555197506
8451 -0.3194901816327663 -0.32141600572316126
8492 -0.32141600572316126 -0.3268886401964734
8835 -0.33441270717298294 -0.3676490386453085
9068 -0.3676490386453085 -0.36776241297219975
10056 -0.3795245374358449 -0.3804246875091239
13294 -0.3877974449142483 -0.4049113117057956
23919 -0.3896465331470935 -0.40165249635728945
30327 -0.4443103972387843 -0.472641075760477
41456 -0.45550700494401863 -0.5241189079164781
59600 -0.4664769684399814 -0.493484793975731
60952 -0.5212423165489167 -0.5309695412217377

11 -0.05557540986577573 -0.1313645218557596
12 -0.05557540986577573 -0.25601891945654137
13 -0.05557540986577573 -0.19700028436584058
23 -0.08840274328494056 -0.10347522559006599
83 -0.1625532645034102 -0.19665676437703533
395 -0.27457626998890444 -0.30983053615622486
1091 -0.30278402487257156 -0.3184220796651248
1272 -0.30757303895347393 -0.3163845302841056
2432 -0.3246242613780763 -0.32789440798816283
2795 -0.33182093924716166 -0.33193364380418217
2894 -0.33193364380418217 -0.35515847481714297
3359 -0.33202320322241186 -0.34592980643733445
4346 -0.3503970882341368 -0.35148014051463683
4537 -0.35148014051463683 -0.36146251719628925
4659 -0.36146251719628925 -0.3622778669498206
4708 -0.3665292500692701 -0.3733283914712631
5172 -0.3730759753785872 -0.3749337007452565
5192 -0.3749337007452565 -0.37858646004336755
5938 -0.38099679489810756 -0.39419203603829883
6907 -0.3862580880166745 -0.39950104702170774
6947 -0.39950104702170774 -0.41971178790920755
8034 -0.42714475372367733 -0.4824996431532747
8984 -0.43090009313319627 -0.4492624512439728
9266 -0.4492624512439728 -0.4589120466642127
35581 -0.4706134087111001 -0.4798297980571592
36814 -0.4798297980571592 -0.4862466845309454
40777 -0.4847036666224325 -0.4974149875203676
53977 -0.5027537752287138 -0.5335682410378857
55116 -0.5038696947102126 -0.524558583810713
89495 -0.5159664328596348 -0.5382084857326569
91150 -0.5546784445817617 -0.5596700404070976

12 -0.10699572704745008 -0.1485124365498627
13 -0.10699572704745008 -0.11479986954339598
73 -0.12067144559389807 -0.14402530023660481
153 -0.1451924292174063 -0.15498964722730368
163 -0.15498964722730368 -0.16424907964415125
172 -0.16424907964415125 -0.17370416164205132
173 -0.16424907964415125 -0.19798415212420445
384 -0.19635494940577422 -0.20206794411690138
666 -0.21971627245314904 -0.25158353029147473
