best_rastrigin2_step1_poor3rich7
eval_cnt fitness r/i/p
1 55.577501184646046 i
2 32.68717479352554 i
3 3.6172955016873516 i
119 3.1019655652219456 r
150 2.195249187037561 r
159 1.406005947470998 r
160 1.2106233228419185 r
191 1.1676363243222632 r
251 1.0729844502736476 r
271 1.0641573018767332 r
290 1.0223359015266524 r
362 1.0220257623532802 r
372 1.0211502255825557 r
422 1.0203837656865815 r
443 1.0190733981783495 r
473 1.0186227302288664 r
493 1.0168269296373396 r
503 1.0166355758802794 r
523 1.01613530815316 r
533 1.015946124348261 r
543 1.0142017640954393 r
553 1.0135403251589352 r
573 1.0130436672814085 r
583 1.0109616518087137 r
623 1.0086187436203247 r
633 1.0071205816490583 r
643 1.0061342068054913 r
653 1.005973123674778 r
673 1.0034555371760874 r
693 1.0034117380834573 r
733 1.0033178664205096 r
743 1.0023858120886402 r
793 1.0012799406868496 r
804 1.0010750516049782 r
814 1.0009098054563879 r
824 0.9991381854937771 r
834 0.9974675982456063 r
864 0.9968023039658434 r
874 0.9963066329507413 r
884 0.9954123547293356 r
925 0.9950675615131637 r
955 0.9950003208792708 r
1025 0.9950003208695541 r
1055 0.9949950764311026 r
1085 0.9949913737113363 r
1095 0.9949797825201401 r
1156 0.9949751852451705 r
1166 0.9949735869413878 r
1176 0.9949650488867121 r
1226 0.9949594002135846 r
1297 0.9949594002135811 r
1317 0.9949590873546299 r
1387 0.9949590873544452 r
1458 0.9949590873541858 r
1519 0.9949590749967996 r
1568 0.9949590691025421 r
1648 0.9949590639433126 r
1720 0.9949590639433055 r
1800 0.9949590639430959 r
1871 0.9949590639428685 r
1952 0.9949590639428187 r
2022 0.9949590639427157 r
2052 0.9949590576963274 r
2183 0.9949590576962848 r
2263 0.9949590576961995 r
2334 0.9949590576961782 r
2485 0.9949590576961427 r
2556 0.9949590576961143 r
2647 0.9949590576960858 r
2717 0.9949590576960716 r
2828 0.9949590576960148 r
2898 0.9949590576959437 r
2968 0.9949590576959011 r
3038 0.9949590576958869 r
3108 0.9949590576958478 r
3179 0.9949590576958016 r
3260 0.9949590576957235 r
3340 0.9949590576956808 r
3431 0.9949590576956737 r
3502 0.9949590576956524 r
3603 0.9949590576956098 r
3636 0.49964781896915156 p
3743 0.15225135070975426 r
3774 0.07572941161359026 r
3875 0.0742114443833728 r
4026 0.07346678302937448 r
4036 0.07294410111906302 r
4066 0.07158305665157627 r
4076 0.06999139353789374 r
4107 0.06970001506388002 r
4157 0.06930907367117811 r
4177 0.06914494822422412 r
4218 0.06650467753755152 r
4228 0.06611483520423178 r
4238 0.06565419461939825 r
4248 0.06313759625837179 r
4308 0.05870698980100286 r
4329 0.05593252292846529 r
4339 0.055679277031835284 r
4369 0.05230727605088248 r
4389 0.05007508593041621 r
4399 0.046950718024710625 r
4409 0.045262415735372485 r
4430 0.044800819773904266 r
4450 0.04298595175366415 r
4470 0.0402298039084954 r
4480 0.03488481405065613 r
4510 0.03097263981460685 r
4530 0.029134688055556524 r
4540 0.026149543611055037 r
4560 0.02274057535819196 r
4590 0.019234112223891486 r
4600 0.018845936210919234 r
4610 0.015733590213187654 r
4631 0.011976623653541907 r
4651 0.011042427497322649 r
4661 0.010454137505462313 r
4742 0.010454137385231377 r
4752 0.010369422236294668 r
4762 0.010156425376361966 r
4782 0.010104292572144402 r
4792 0.009995795413829 r
4802 0.009946595272502634 r
4812 0.009436826612507332 r
4822 0.00882513537811036 r
4843 0.00838111896043614 r
4853 0.008341889437964767 r
4883 0.008158260625641844 r
4893 0.00752477559463216 r
4923 0.0067731526108048 r
4943 0.0064569134617045165 r
4954 0.005437542263713624 r
4964 0.0047304786551762845 r
4974 0.004641384746964405 r
4984 0.004251781115257813 r
5014 0.003149980838848876 r
5034 0.0020549295678584656 r
5054 0.001598627760905913 r
5064 0.0014587919754021073 r
5105 0.0009339992928403262 r
5115 0.00036182448711485904 r
5155 0.0003300175074336664 r
5185 0.00016430505596076728 r
5195 6.772153188450147e-05 r
5255 2.5365281032918574e-05 r
5346 2.536527821916934e-05 r
5356 2.1989149139756137e-05 r
5376 1.9309377606191447e-05 r
5396 1.8503219372689728e-05 r
5427 1.4831153418271015e-05 r
5447 1.0133728721939406e-05 r
5457 9.467211409486254e-06 r
5497 1.1257094385541677e-06 r
5568 1.125708031679551e-06 r
5578 8.692891455552854e-07 r
5649 8.692881223737459e-07 r
5679 8.390054375695399e-07 r
5709 5.127359159473599e-07 r
5749 1.1398491039926739e-07 r
5859 1.1398478250157495e-07 r
5919 6.699464094594987e-08 r
5990 6.699409027532965e-08 r
6020 4.209084636386251e-08 r
6091 4.2090775309588935e-08 r
6131 3.8503053190197534e-08 r
6222 3.850244922887214e-08 r
6263 1.8361063780503173e-09 r
6333 1.836092167195602e-09 r
6424 1.8360104547809897e-09 r
6495 1.835879004374874e-09 r
6596 1.8358292663833709e-09 r
6666 1.8358150555286556e-09 r
6757 1.8358008446739404e-09 r
6828 1.8357475539687584e-09 r
6898 1.835665841554146e-09 r
6969 1.83559478728057e-09 r
7040 1.835523733006994e-09 r
7110 1.8354597841607756e-09 r
7181 1.8353674136051268e-09 r
7272 1.8352857011905144e-09 r
7352 1.8351968833485444e-09 r
7433 1.8351258290749684e-09 r
7504 1.8350156949509255e-09 r
7605 1.8349126662542403e-09 r
7675 1.8349091135405615e-09 r
7756 1.8348558228353795e-09 r
7827 1.834813190271234e-09 r
7907 1.8347066088608699e-09 r
7978 1.834667529010403e-09 r
8069 1.834614238305221e-09 r
8170 1.8345680530273967e-09 r
8240 1.834436602621281e-09 r
8341 1.834418839052887e-09 r
8412 1.8343513374929898e-09 r
8483 1.8342518615099834e-09 r
8553 1.8342305452279106e-09 r
8624 1.834187912663765e-09 r
8705 1.8341239638175466e-09 r
8785 1.8341026475354738e-09 r
8856 1.8340173824071826e-09 r
8927 1.8338894847147458e-09 r
9038 1.8338397467232426e-09 r
