best_shubert2_step1_poor10rich0
eval_cnt fitness r/i/p
1 -0.1830154446832766 i
2 -49.82132187064192 i
9 -64.09553330300842 i
19 -64.20034840761305 p
40 -74.27532324313088 r
60 -76.53669817592477 r
110 -77.27856434719826 r
191 -77.63112219414474 r
201 -78.55087029818182 r
241 -78.59415235009544 r
262 -79.0300361506892 r
282 -79.14248702884909 r
363 -79.14848989100393 r
373 -79.14882946960506 r
403 -79.15329834725371 r
423 -79.155077700683 r
433 -79.15922989075783 r
443 -79.16962206192687 r
463 -79.18021212419356 r
474 -79.18988722478497 r
484 -79.19786943826216 r
554 -79.19786944131214 r
564 -79.19914110004608 r
574 -79.19982121044167 r
585 -79.20264546268021 r
605 -79.20545027151748 r
615 -79.20966025017772 r
625 -79.21424707207287 r
635 -79.22086882926193 r
645 -79.23064708841723 r
655 -79.23266760455381 r
696 -79.23454706347273 r
706 -79.2375779400298 r
746 -79.23927066918112 r
756 -79.25351912841407 r
766 -79.26904093407742 r
807 -79.27535385274501 r
827 -79.27808307778817 r
837 -79.28869087532298 r
857 -79.29169988878806 r
867 -79.30038601476605 r
887 -79.30596043377331 r
897 -79.32198096788215 r
907 -79.32313729850738 r
918 -79.33496630914742 r
938 -79.34394834470024 r
948 -79.34909067535894 r
968 -79.35496989563859 r
978 -79.37028232203306 r
988 -79.37899269109641 r
993 -161.97944058033872 p
1129 -175.14261119957467 r
1159 -177.3217384274752 r
1219 -184.34238852009443 r
1330 -185.8809027239147 r
1502 -186.53476162930286 r
1512 -186.64085350693733 r
1593 -186.64276406067827 r
1633 -186.64533179438578 r
1643 -186.6474883843917 r
1653 -186.65424023476848 r
1663 -186.6635058716163 r
1694 -186.66902895403314 r
1714 -186.68123734987861 r
1744 -186.68808669038248 r
1754 -186.6889119620491 r
1764 -186.7015144751831 r
1774 -186.7097143669454 r
1785 -186.71415385142106 r
1795 -186.7149847191002 r
1815 -186.71868344542924 r
1825 -186.72313551676584 r
1845 -186.7247573788084 r
1865 -186.72716453605497 r
1906 -186.7277948500957 r
1916 -186.72883839764282 r
1926 -186.7291820967054 r
1986 -186.73085361009845 r
2067 -186.73085361010874 r
2107 -186.73086525037488 r
2118 -186.7308693898563 r
2138 -186.73089171085513 r
2208 -186.7308917108852 r
2218 -186.7309042502662 r
2229 -186.7309084231839 r
2299 -186.73090842318416 r
2309 -186.73090855813092 r
2380 -186.73090855813516 r
2410 -186.73090860147406 r
2511 -186.73090860147485 r
2531 -186.7309086929133 r
2622 -186.73090869291408 r
2652 -186.7309087112911 r
2733 -186.73090871129324 r
2824 -186.7309087112951 r
2895 -186.7309087112959 r
2965 -186.73090871129816 r
3036 -186.7309087112994 r
3147 -186.73090871130105 r
3217 -186.73090871130415 r
3298 -186.73090871130543 r
3379 -186.730908711306 r
3460 -186.73090871130833 r
3500 -186.73090882343877 r
3571 -186.73090882343902 r
3641 -186.73090882343956 r
3722 -186.73090882343965 r
3813 -186.7309088234404 r
3934 -186.73090882344104 r
4055 -186.73090882344107 r
4136 -186.73090882344158 r
4206 -186.730908823442 r
4297 -186.7309088234421 r
4378 -186.73090882344255 r
4459 -186.7309088234428 r
4529 -186.7309088234436 r
4600 -186.73090882344394 r
4681 -186.73090882344397 r
4771 -186.7309088234444 r
4842 -186.73090882344462 r
4923 -186.73090882344516 r
4993 -186.73090882344542 r
5145 -186.73090882344567 r
5226 -186.7309088234458 r
5357 -186.73090882344667 r
5427 -186.7309088234467 r
5498 -186.7309088234469 r
5589 -186.73090882344715 r
5659 -186.73090882344766 r
5740 -186.7309088234477 r
5851 -186.73090882344823 r
