best_deceptive2_step0_poor3rich7
eval_cnt fitness r/i/p
1 -0.15035377002018704 i
2 -0.168618600545598 i
3 -0.19107145558455346 i
9 -0.4254252540564466 i
19 -0.42768730963735885 r
30 -0.4655291698501963 r
60 -0.49079242706575726 r
69 -0.606424886430047 r
80 -0.6432682783672086 r
140 -0.6535216071283338 r
258 -0.6896541942805938 r
268 -0.72507681557229 r
299 -0.8966064809359989 r
358 -0.90085682825199 r
430 -0.9248888688873202 r
490 -0.9682248115944962 r
521 -0.9793942727915589 r
592 -0.9799947168044797 r
602 -0.9801989296835844 r
612 -0.9804277315406488 r
633 -0.9812208609667783 r
653 -0.9812706087144737 r
673 -0.9826338277753541 r
683 -0.9829362073078232 r
703 -0.9830753708682808 r
754 -0.9839561754293688 r
764 -0.984230770816617 r
784 -0.9851762997076433 r
814 -0.9860357492741344 r
824 -0.9883426764354165 r
834 -0.9906952751986774 r
844 -0.9920350647979858 r
905 -0.9921351332622047 r
925 -0.9934932574475078 r
935 -0.9938066779079203 r
945 -0.9953832718048939 r
955 -0.9960552113374863 r
965 -0.9972997146464544 r
975 -0.9977377466424209 r
996 -0.9990828688035142 r
1086 -0.9990828694778268 r
1127 -0.9991572174045178 r
1147 -0.9991615630389477 r
1167 -0.9992330625338598 r
1177 -0.9992900646954969 r
1187 -0.9995703654945465 r
1197 -0.9998406357257851 r
1288 -0.9998406361009574 r
1298 -0.9999081251622907 r
1409 -0.99990812659708 r
1429 -0.9999326205234829 r
1490 -0.9999769192073662 r
1580 -0.9999769197259021 r
1651 -0.9999769197687804 r
1722 -0.9999769213372647 r
1792 -0.9999769216420472 r
1892 -0.9999982016106114 r
1964 -0.9999982034905944 r
2044 -0.99999820580576 r
2115 -0.9999982073167486 r
2185 -0.9999982089490722 r
2255 -0.9999982098445628 r
2335 -0.9999982108265972 r
2406 -0.9999982110649608 r
2486 -0.9999982115005562 r
2586 -0.9999982122914617 r
2657 -0.9999982127304778 r
2727 -0.999998215001964 r
2798 -0.9999982151082366 r
2868 -0.9999982154255092 r
2969 -0.9999982176862816 r
3040 -0.9999982197522501 r
3110 -0.9999982215192204 r
3252 -0.9999982236131687 r
3322 -0.9999982240477562 r
3393 -0.999998224272032 r
3474 -0.999998225169008 r
3544 -0.9999982274021837 r
3615 -0.9999982301545369 r
3686 -0.9999982315798341 r
3756 -0.9999982318493683 r
3867 -0.9999982323079943 r
3938 -0.9999982336422822 r
4008 -0.9999982344933261 r
4079 -0.9999982368356666 r
4150 -0.9999982373993207 r
4220 -0.9999982392653494 r
4301 -0.9999982400091292 r
4372 -0.9999982404598804 r
4463 -0.9999982409060097 r
4553 -0.9999982413426755 r
4624 -0.9999982417981185 r
4695 -0.9999982424348041 r
4785 -0.9999982446958231 r
4886 -0.9999982471575235 r
4957 -0.9999982487144743 r
5058 -0.9999982488073921 r
5129 -0.9999982509335114 r
5199 -0.9999982510527646 r
5270 -0.999998251524539 r
5340 -0.9999982520170734 r
5411 -0.9999982524937694 r
5512 -0.9999982537242416 r
5583 -0.9999982555963333 r
5653 -0.9999982557435575 r
5744 -0.9999982566550086 r
5815 -0.9999982572350151 r
5885 -0.9999982577274706 r
5956 -0.9999982577529225 r
6067 -0.9999982597624729 r
6168 -0.9999982608853702 r
6239 -0.9999982624611581 r
6309 -0.9999982633001849 r
6380 -0.9999982654102448 r
6461 -0.999998265970586 r
6541 -0.9999982661428336 r
6632 -0.9999982670899351 r
6723 -0.9999982690466611 r
6794 -0.9999982693849857 r
6884 -0.9999982695765178 r
6965 -0.999998271953544 r
7046 -0.9999982723097565 r
7137 -0.9999982735806496 r
7207 -0.9999982740088911 r
7288 -0.9999982745770949 r
7359 -0.9999982746494014 r
7439 -0.9999982757638244 r
7520 -0.9999982757835518 r
7591 -0.9999982763437076 r
7682 -0.999998277654158 r
7762 -0.9999982783304608 r
7863 -0.999998278436366 r
7994 -0.9999982803283406 r
8065 -0.9999982828390364 r
8156 -0.9999982828815522 r
8226 -0.9999982840507402 r
8348 -0.9999982846755121 r
8438 -0.9999982864209341 r
8509 -0.9999982864925334 r
8610 -0.999998287038706 r
8691 -0.9999982874333054 r
8761 -0.9999982875178 r
8832 -0.9999982875403941 r
8913 -0.9999982892656611 r
9014 -0.9999982916905246 r
9135 -0.9999982917474034 r
9205 -0.9999982938451999 r
9286 -0.9999982940666647 r
9367 -0.9999982948051999 r
9437 -0.9999982970434171 r
9508 -0.9999982976412439 r
9639 -0.9999982982645791 r
9710 -0.9999982995648365 r
9780 -0.9999983002611589 r
9881 -0.9999983014179057 r
9962 -0.999998301574497 r
10033 -0.99999830432864 r
10124 -0.9999983061388101 r
10204 -0.9999983061888489 r
10275 -0.999998306757126 r
10346 -0.9999983082970348 r
10416 -0.9999983096929268 r
10487 -0.9999983110457344 r
10557 -0.9999983113479513 r
10648 -0.9999983132925316 r
10729 -0.999998314509346 r
10800 -0.9999983157374167 r
10890 -0.9999983159240162 r
10961 -0.9999983160723263 r
11032 -0.9999983168254442 r
11102 -0.9999983172331233 r
11173 -0.9999983186484941 r
11244 -0.9999983188182603 r
11314 -0.9999983200736415 r
11385 -0.9999983220312947 r
11456 -0.9999983228056911 r
11556 -0.9999983246820416 r
11657 -0.9999983260610017 r
11738 -0.999998327412165 r
11879 -0.9999983281449359 r
11980 -0.9999983306108199 r
12051 -0.9999983306923801 r
12122 -0.999998331446143 r
12192 -0.9999983321332072 r
12263 -0.999998334175306 r
12333 -0.9999983353172182 r
12404 -0.9999983359036441 r
12475 -0.9999983364608023 r
