pass_rich_deceptive2_step1_poor3rich7
eval_cnt worst_rich_fitness new_rich_fitness
11 -0.028421746112796208 -0.14052743770103082
12 -0.028421746112796208 -0.11347967091740035
13 -0.028421746112796208 -0.1348119018023954
33 -0.03497048485311425 -0.04920900692567152
122 -0.11322067387069633 -0.11333962189877285
123 -0.11322067387069633 -0.11563801974811529
133 -0.13192090630291786 -0.18608400911795214
142 -0.18608400911795214 -0.18859601581687815
153 -0.1901899428111768 -0.2699827884617635
374 -0.2528841703362628 -0.28345823529789055
444 -0.31955866788434595 -0.41748890009865125
563 -0.37669698934351126 -0.43678732486250593
905 -0.47964519572589087 -0.5500931231053797
906 -0.47964519572589087 -0.5160989562235373
1140 -0.516977095385073 -0.9012140643122594
1644 -0.5232619024921216 -0.5345305797030959
2349 -0.5724317981287251 -0.6213750983578428
2490 -0.5936251265965281 -0.7171463600157835
2610 -0.5983625988683882 -0.640772696633117
3064 -0.6143322760712637 -0.6272610061405909
3277 -0.6752783823348452 -0.6880985894828987
3438 -0.6886484536135048 -0.7011073377021907
3478 -0.7011073377021907 -0.7042385524803992
3488 -0.7042385524803992 -0.7173217745596508
3507 -0.710797334015438 -0.8389036492275105
3638 -0.71859399874375 -0.7239494640188433
4566 -0.7443207048960514 -0.7865235720722339
4616 -0.7525218656766822 -0.7709700313549687
5424 -0.9422756556103797 -0.9716280581193855
5564 -0.9716280581193855 -0.978403825590815
5565 -0.9716280581193855 -0.986407816888214

11 -0.06427693129744272 -0.17539926818334853
13 -0.06427693129744272 -0.07485453349199345
113 -0.17855928824771258 -0.1829296896565003
354 -0.3110388684962074 -0.3435790185209941
415 -0.35167662371092606 -0.6739178501750311
556 -0.42822088328864094 -0.46640849962879677
1171 -0.4441820947056499 -0.49910035453218565
1230 -0.5449042344818088 -0.6445240899902447
1330 -0.5636256209272871 -0.5936044114113443
1916 -0.5724334022399462 -0.5749768101793119
2399 -0.5996657638935574 -0.7449408532659644
2439 -0.6181840255480924 -0.6210919067932413
2601 -0.6210919067932413 -0.6225058017295954
2671 -0.6225058020206117 -0.6236756041541655
2730 -0.6236756041541655 -0.625049318498209
2861 -0.6266269215003113 -0.6266544528563445
2862 -0.6266269215003113 -0.6306078944897957
3042 -0.6315128780195022 -0.6332757995145243
3203 -0.6365905197006894 -0.6495019493846185
3274 -0.6596077259817957 -0.6637546732758429
3304 -0.6637546732758429 -0.6642964189637954
3324 -0.6642964189637954 -0.6689798683243685
3334 -0.6689798683243685 -0.6704965365988687
3414 -0.6754597607902924 -0.677623380911392
3444 -0.680455954542455 -0.6813834584877654
3464 -0.6813834584877654 -0.6870468642643331
3544 -0.6870468647088681 -0.6882231209213489
3805 -0.7025380145590882 -0.7055895318466692
3937 -0.705642616049486 -0.7133737842347166
3977 -0.725832592546166 -0.9997948325126879
4702 -0.7531746371546868 -0.8285948455168823
6063 -0.7684331181732131 -0.8309155346168008
6215 -0.8309155346168008 -0.9210656170515482
6468 -0.9210656170515482 -0.9286029160958476
6629 -0.9286029160958476 -0.9684486902276295
6760 -0.9684486902276295 -0.9853589287488718

11 -0.007281998509421736 -0.4022014460447344
12 -0.007281998509421736 -0.28814927839992366
13 -0.007281998509421736 -0.12366444019165615
154 -0.1287368938991473 -0.1807460219217825
194 -0.16261432963591732 -0.16546792387242054
223 -0.18746654684428204 -0.27047765954257225
355 -0.255026756393207 -0.26108004067079643
545 -0.2659064168900248 -0.28993579574515704
788 -0.2913481024419162 -0.32377948944257345
887 -0.4231110610227878 -0.6763759461268369
1117 -0.44543091436429877 -0.6926074578982715
1118 -0.44543091436429877 -0.7348179669845493
1904 -0.5724317277365767 -0.6830948341193228
2893 -0.5724323105293253 -0.6597502686406466
3438 -0.5724334022399462 -0.6662883204393173
3538 -0.652411895553321 -0.8162932637419866
3750 -0.6662883204393173 -0.673334421359288
3800 -0.7388761555978866 -0.8754172841538306

123 -0.08374786335986034 -0.11119894155273584
163 -0.14059509659967143 -0.14500903994649028
173 -0.1495852289227295 -0.19452833668614605
304 -0.2000459413803716 -0.20023021587215112
606 -0.31226727353827355 -0.33017076190516853
978 -0.4178245765718188 -0.41899804230810084
998 -0.41899804230810084 -0.41941016792185326
1017 -0.41941016792185326 -0.47080635571697366
1341 -0.5284074241407004 -0.5383977327790633
1734 -0.5335389599707159 -0.5430235866614901
1966 -0.5516168105061151 -0.5567126091948131
2339 -0.5724308155784397 -0.6304447714124861
4324 -0.5724333214406238 -0.7245927198513255
